"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GFAP",9.76988571514285e-19,2.00655203708514,0.827,0.351,3.29186529286023e-14
"HILPDA",2.42989413295918e-17,4.56687146006958,0.321,0.03,8.18728529159265e-13
"C10orf10",3.596327788964e-13,4.82743928447481,0.185,0.006,1.21174668521353e-08
"HSPA1A",1.5861179581606e-12,2.66494538486596,0.457,0.129,5.34426584822631e-08
"MT3",1.13056966205251e-11,-1.79670762826763,0.432,0.748,3.80934141931974e-07
"CHI3L1",2.00885033892472e-11,2.57149854479536,0.346,0.075,6.76862033197295e-07
"DST",7.04200050940135e-11,1.28193066035958,0.852,0.556,2.37273165163769e-06
"FOS",9.12899394823298e-11,3.08722023491283,0.21,0.021,3.07592322091762e-06
"HSPB1",1.28022655941483e-10,2.65241483414155,0.519,0.213,4.31359536929232e-06
"GADD45B",3.98471005126113e-10,4.10174573491988,0.198,0.021,1.34260820467193e-05
"JUNB",1.45247501638163e-09,2.40313139113948,0.272,0.051,4.89396932019625e-05
"JUN",3.88976144026882e-09,1.94552106399168,0.321,0.078,0.000131061621968418
"CRYAB",4.06900674997361e-09,1.80459857828153,0.494,0.183,0.000137101113433611
"CEBPD",7.56595640718216e-09,2.39933815035378,0.259,0.051,0.000254927335183596
"APLNR",1.83133008652724e-08,4.14057145021649,0.123,0.006,0.000617048359354487
"CD44",2.1299929402333e-08,3.44779468817344,0.173,0.021,0.000717679821282207
"EPS8L2",6.61542707781317e-08,8.03668205682921,0.086,0,0.00222900199959837
"BAALC-AS1",8.92037001469856e-08,3.77524765070684,0.136,0.012,0.00300562947275253
"ETV6",1.28332499961886e-07,4.61084724874833,0.111,0.006,0.00432403525371579
"XIST",1.734507448401e-07,1.00493584434271,0.519,0.201,0.00584424939664232
"C1orf61",4.07246815201498e-07,-1.10148211844936,0.383,0.676,0.0137217741913993
"RP1-187B23.1",1.01909828152289e-06,5.61678211405179,0.099,0.006,0.0343374974976323
"IFI16",1.08127409521604e-06,4.3817609607927,0.086,0.003,0.0364324493642093
"ICAM1",1.08127409521604e-06,4.64202369394596,0.086,0.003,0.0364324493642093
"RASD1",1.09140819650927e-06,2.04769334567848,0.198,0.042,0.0367739077731833
"MAP1LC3B",2.12428242287005e-06,2.23318444016727,0.16,0.027,0.0715755719561833
"SOD2",2.78253452804562e-06,2.25566659254632,0.21,0.051,0.0937547183879691
"NEAT1",3.20240341922033e-06,1.06865762608583,0.963,0.952,0.10790178080721
"ADCY2",3.43244924176555e-06,1.2729257728043,0.395,0.162,0.115652944752048
"DDI2",4.60558743623494e-06,3.18103332027033,0.111,0.012,0.1551806630765
"CXXC5",4.62890048211606e-06,2.06538872097382,0.222,0.06,0.155966172844419
"ZFP36",5.08290119464608e-06,2.40962257752929,0.173,0.036,0.171263272852405
"ST8SIA1",5.26886338047676e-06,2.31262551293405,0.185,0.042,0.177529082741784
"TMPRSS3",5.28621381497741e-06,7.76097218114084,0.062,0,0.178113688281849
"LRRC7",6.05662098224283e-06,2.4833638883701,0.136,0.021,0.20407178737569
"PTGDS",7.64349723250705e-06,-0.611218023649168,0.877,0.934,0.257539995752092
"SAT2",8.67152444893074e-06,-1.95464239110397,0.111,0.366,0.292178344782272
"SLC25A16",9.38812783185504e-06,3.56899290494762,0.086,0.006,0.316323579166524
"SAT1",1.53181031147404e-05,-1.4966097747228,0.346,0.547,0.516128166348062
"SON",1.6248587072357e-05,-0.964420617985743,0.457,0.685,0.547479892815996
"SSFA2",1.7504811914991e-05,1.55572221381416,0.222,0.063,0.589807132663706
"FGFR3",1.8971636664108e-05,-0.924166948037893,0.494,0.694,0.639230325760455
"RPS26",2.07812427924648e-05,-4.06426343942928,0.037,0.243,0.700203194649308
"ATHL1",2.08681800055904e-05,2.41080608059722,0.111,0.015,0.703132457108361
"ALDOA",2.23281849621987e-05,0.854202047233434,0.519,0.252,0.752325864116323
"PCLO",2.59064948624277e-05,1.91294265908601,0.198,0.054,0.872893437894638
"MAPK8IP1",2.99120336151071e-05,1.74103819279748,0.198,0.054,1
"NTM",3.07131682516751e-05,-0.68435434152987,0.778,0.856,1
"LL22NC03-2H8.5",3.19074469807888e-05,2.87067607392999,0.099,0.012,1
"CMIP",3.44604601544671e-05,1.44587769041859,0.222,0.066,1
"TNS2",3.51837367226854e-05,1.68102896570974,0.222,0.069,1
"YBX3",3.55117903861221e-05,2.26514954665785,0.123,0.021,1
"ID3",3.65588088686934e-05,1.43169778743355,0.21,0.06,1
"ADD3",4.04044417013687e-05,-1.21065624267095,0.272,0.523,1
"CDKN1A",4.50211550214531e-05,3.87883293497064,0.086,0.009,1
"TCEB3-AS1",4.76491035017346e-05,7.28297772629545,0.049,0,1
"GRHL1",4.76491035017346e-05,7.53900740607196,0.049,0,1
"AP000708.1",4.76491035017346e-05,6.81256703823297,0.049,0,1
"CCL2",4.76491035017346e-05,7.22990643787405,0.049,0,1
"CSRP2BP",4.76491035017346e-05,7.49490394939576,0.049,0,1
"C3",4.76491035017346e-05,7.18179120276477,0.049,0,1
"KIAA0100",4.97675616484932e-05,3.11627693053507,0.086,0.009,1
"HMGN3",5.2801709695807e-05,-1.90141631390929,0.16,0.378,1
"C1S",5.5830672815933e-05,2.05094806660964,0.148,0.033,1
"SPEN",5.70367499313033e-05,1.73485541591618,0.185,0.051,1
"NUPR1",6.41911440228806e-05,1.95614620812228,0.173,0.045,1
"NHS",6.65572339043086e-05,3.85228656520816,0.074,0.006,1
"SOCS3",6.65572339043086e-05,3.52136735145994,0.074,0.006,1
"AP2S1",6.77829418471182e-05,1.82037243513296,0.16,0.039,1
"BLCAP",6.94260979134408e-05,1.13674849045699,0.235,0.078,1
"DPF2",7.08204385759967e-05,1.2531774572376,0.247,0.084,1
