"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MEG3",9.20037177786267e-13,-0.562078031735343,1,1,3.09997326683305e-08
"RPL31",6.94997014927796e-10,-1.90303189722865,0.301,0.734,2.34172294209772e-05
"PCSK1N",3.96432372130677e-09,1.65610675612925,0.671,0.281,0.00013357392346571
"RPL32",1.98556820280147e-07,-1.870684001118,0.164,0.547,0.00669017350251929
"RPS27",2.19324758608679e-07,-1.66267554491945,0.329,0.669,0.00738992841656082
"CHD5",8.21199869652318e-07,1.06216559968567,0.877,0.662,0.0276695084080652
"RPL26",9.70707533655336e-07,-2.30236958978125,0.096,0.432,0.0327070196389829
"RPL34",2.52474600028217e-06,-1.37490603614921,0.384,0.698,0.0850687917335073
"GRIN1",4.39864986705093e-06,0.796606018858914,0.945,0.691,0.148208108620414
"SORL1",2.0415442871878e-05,-0.833253901194107,0.671,0.871,0.687877932125056
"UQCRB",2.18021373696248e-05,-1.28840544760797,0.356,0.633,0.734601216532138
"UBR3",2.46811283894142e-05,-1.54597526681174,0.219,0.511,0.831605939952922
"NTM",2.94668736782208e-05,-0.853846141732973,0.685,0.871,0.992856841713972
"KIAA0100",3.44398139832287e-05,2.81956793337172,0.233,0.05,1
"RPS18",3.64236715315823e-05,-1.5305351517838,0.151,0.446,1
"BOLA3",4.19566746562322e-05,-2.44412958598316,0.068,0.317,1
"AC016831.7",4.54874934068776e-05,2.86460695230095,0.233,0.05,1
"CLU",4.78514885166286e-05,0.719645841778042,0.849,0.698,1
"ANKRD36",5.95008996507944e-05,1.0460620090778,0.603,0.36,1
"RPS25",6.53781672804128e-05,-1.26856073528921,0.274,0.576,1
"NDUFB2",6.71973841500023e-05,-1.49404594233163,0.137,0.41,1
"TTN-AS1",7.54857769781702e-05,2.41387433530902,0.247,0.065,1
"TGFBR3L",7.82975051854782e-05,2.47272402588432,0.205,0.036,1
"RBFOX2",9.55608636850383e-05,-0.966504978642976,0.37,0.655,1
"TBC1D32",9.79623245783585e-05,-3.22485941270347,0.014,0.216,1
"ALDOA",0.000107363460140432,1.2028214933329,0.658,0.561,1
"RPS12",0.000124643710941575,-5.51619199245436,0,0.18,1
