"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PCSK1N",0,1.42628485462704,0.757,0.403,0
"MEG3",0,-0.975004631364137,0.995,0.983,0
"MIAT",6.74365057700017e-259,-0.939208912244544,0.764,0.882,2.27220562541444e-254
"ATP5D",1.26265467548757e-195,1.23206638838063,0.495,0.257,4.2543886635878e-191
"RPL31",3.33538000786511e-194,-0.945759120176007,0.557,0.722,1.12382293985007e-189
"H1FX",3.55420484605605e-192,1.36470885259167,0.422,0.184,1.19755378083013e-187
"C4orf48",2.6719083812862e-190,1.50428888839759,0.36,0.136,9.00272809990573e-186
"SNCB",1.36883602422594e-176,0.603309514219373,0.838,0.664,4.61215610002688e-172
"SORL1",2.25254493547266e-154,-0.746154425848891,0.54,0.727,7.58972490558159e-150
"ACTB",6.5717973321583e-143,0.412778552375538,0.936,0.835,2.21430139309742e-138
"ALDOA",1.07869735429393e-138,0.705622429900541,0.753,0.618,3.63456286555798e-134
"FAIM2",5.85663869947812e-131,0.448907643222579,0.914,0.805,1.97333584340216e-126
"RP3-525N10.2",1.26482504970594e-130,-1.18966334472447,0.231,0.427,4.26170152247918e-126
"GRIN1",1.46269743495756e-129,0.441291456856744,0.904,0.673,4.92841273734602e-125
"TTC9B",1.58927109752377e-122,0.866298372756221,0.515,0.327,5.3548900359966e-118
"BCYRN1",4.27439994657381e-120,-0.892630299515688,0.576,0.718,1.44021631799858e-115
"CLU",2.29657494139058e-118,0.607052138364573,0.8,0.695,7.73807960752143e-114
"STMN1",1.3769362412896e-115,0.505620638507061,0.876,0.82,4.63944897140116e-111
"IDS",1.75788729238843e-115,0.378089290804694,0.936,0.879,5.92302544297358e-111
"TMEM160",1.38346629461758e-112,0.847402818773905,0.456,0.259,4.66145133308448e-108
"LY6H",2.028071544165e-109,0.860712162901879,0.514,0.343,6.83338426090954e-105
"GOLGA8B",1.48655693928762e-106,-0.874578790434397,0.296,0.483,5.00880495123572e-102
"CALM2",4.23455349526449e-106,0.333963402065321,0.948,0.89,1.42679045469442e-101
"FKBP8",2.05792008241596e-105,0.559667966745846,0.743,0.603,6.93395592569232e-101
"KCNQ1OT1",7.91351926960071e-105,-1.15291427458805,0.28,0.452,2.66638118269926e-100
"GAPDH",5.90348242326993e-101,0.425655057511068,0.862,0.753,1.98911936769657e-96
"CCDC85B",1.66071624078683e-96,0.771040249324191,0.499,0.325,5.59561730170714e-92
"MT-ND4",6.41939109206903e-96,0.317372539111203,0.991,0.951,2.16294963456174e-91
"YWHAH",6.87253431484012e-96,0.479987466489684,0.791,0.692,2.31563171204223e-91
"PRNP",7.30680010936976e-94,0.369953807155759,0.896,0.79,2.46195322885105e-89
"WSB1",1.76252412507628e-92,-0.671487617638179,0.447,0.621,5.93864878703203e-88
"CHCHD10",2.11832546069192e-90,0.908725204972369,0.421,0.269,7.13748580725535e-86
