"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","cellular response to cadmium ion (GO:0071276)","3/27",4.9470534716637e-06,0.00144374172907305,0,0,113.357954545455,1384.86221099416,"JUN;FOS;MT3"
"2","response to cadmium ion (GO:0046686)","3/29",6.16983644903014e-06,0.00144374172907305,0,0,104.627622377622,1255.09603220642,"JUN;FOS;MT3"
"3","cellular response to oxidative stress (GO:0034599)","4/125",1.66144587839828e-05,0.00235710872698244,0,0,31.2538370720189,343.95589134498,"JUN;FOS;MT3;HSPA1A"
"4","cellular response to cytokine stimulus (GO:0071345)","6/482",2.27797699744638e-05,0.00235710872698244,0,0,12.9360902255639,138.282117735948,"CEBPD;IFI16;CHI3L1;FOS;JUNB;ICAM1"
"5","regulation of apoptotic process (GO:0042981)","7/742",2.51827855446842e-05,0.00235710872698244,0,0,10.1798941798942,107.798461519517,"JUN;GADD45B;HSPB1;MT3;CRYAB;CD44;HSPA1A"
"6","negative regulation of cysteine-type endopeptidase activity (GO:2000117)","3/53",3.87804339808952e-05,0.00302487385050982,0,0,54.3409090909091,551.972931118863,"IFI16;MT3;CD44"
"7","positive regulation of ERK1 and ERK2 cascade (GO:0070374)","4/172",5.80208260579687e-05,0.00387910665644705,0,0,22.4569160997732,219.060671303259,"CHI3L1;MT3;CD44;ICAM1"
"8","negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201)","2/10",6.70875366203682e-05,0.00392462089229154,0,0,217.032608695652,2085.5775172497,"JUN;HSPA1A"
"9","cytokine-mediated signaling pathway (GO:0019221)","6/621",9.3536554556109e-05,0.00443790373081086,0,0,9.94094993581515,92.2237656130037,"CEBPD;FOS;JUNB;MT3;CD44;ICAM1"
"10","negative regulation of programmed cell death (GO:0043069)","5/381",9.48270027951039e-05,0.00443790373081086,0,0,13.03125,120.714415556397,"HSPB1;MT3;CRYAB;CD44;HSPA1A"
"11","regulation of autophagy (GO:0010506)","4/231",0.000181249737301702,0.00771135245974513,0,0,16.5705894692679,142.766145856247,"IFI16;HSPB1;MT3;GFAP"
"12","regulation of ERK1 and ERK2 cascade (GO:0070372)","4/238",0.000203195638339306,0.00792462989523293,0,0,16.0691900691901,136.609669310959,"CHI3L1;MT3;CD44;ICAM1"
"13","regulation of cell death (GO:0010941)","3/102",0.000272989735728853,0.00911352333520559,0,0,27.3774104683196,224.6611208845,"MT3;CRYAB;HSPA1A"
"14","positive regulation of vasculature development (GO:1904018)","3/102",0.000272989735728853,0.00911352333520559,0,0,27.3774104683196,224.6611208845,"APLNR;HSPB1;CHI3L1"
"15","negative regulation of apoptotic process (GO:0043066)","5/485",0.000292100106897615,0.00911352333520559,0,0,10.1536458333333,82.634573224452,"HSPB1;MT3;CRYAB;CD44;HSPA1A"
"16","positive regulation of MAPK cascade (GO:0043410)","4/274",0.000347459077710113,0.0101631780230208,0,0,13.9012345679012,110.721438065136,"CHI3L1;MT3;CD44;ICAM1"
"17","regulation of cysteine-type endopeptidase activity (GO:2000116)","2/23",0.00037344700460227,0.0102807763619919,0,0,82.6252587991718,652.139226735722,"IFI16;MT3"
"18","positive regulation of angiogenesis (GO:0045766)","3/116",0.000398360460279256,0.0103573719672607,0,0,23.9686242960579,187.630064983351,"APLNR;HSPB1;CHI3L1"
"19","cellular response to metal ion (GO:0071248)","3/131",0.000568399897896015,0.0140005869587018,0,0,21.1438210227273,158.001121417199,"JUN;FOS;MT3"
"20","negative regulation of DNA binding (GO:0043392)","2/31",0.000682184965402003,0.0159631281904069,0,0,59.808095952024,436.013562840355,"JUN;IFI16"
"21","positive regulation of cytokine production (GO:0001819)","4/335",0.000740504145967667,0.0165026638244223,0,0,11.3042727665084,81.4832252441843,"IFI16;HILPDA;CHI3L1;HSPA1A"
"22","positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)","2/34",0.000821135816987328,0.0174677982886395,0,0,54.1929347826087,385.031157101538,"JUN;FOS"
"23","connective tissue development (GO:0061448)","2/38",0.00102583671197477,0.020873547008878,0,0,48.1618357487923,331.461634908286,"CHI3L1;CD44"
"24","positive regulation of protein phosphorylation (GO:0001934)","4/371",0.00108253453278117,0.0211094233892328,0,0,10.1767224601012,69.4912424940449,"APLNR;CHI3L1;MT3;CD44"
"25","protein stabilization (GO:0050821)","3/179",0.00140259917443215,0.0258645571673825,0,0,15.3401342975207,100.775911006375,"MT3;CRYAB;HSPA1A"
"26","regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)","2/45",0.00143691984263236,0.0258645571673825,0,0,40.3073811931244,263.822025995752,"JUN;FOS"
"27","regulation of DNA binding (GO:0051101)","2/47",0.00156660222343349,0.0271544385395138,0,0,38.512077294686,248.74358384853,"JUN;IFI16"
"28","cellular response to ionizing radiation (GO:0071479)","2/48",0.00163346569393314,0.0273022123128825,0,0,37.6729678638941,241.749368487642,"IFI16;CRYAB"
"29","response to unfolded protein (GO:0006986)","2/49",0.00170167308772342,0.0274614829329158,0,0,36.8695652173913,235.085632807193,"HSPB1;HSPA1A"
"30","regulation of protein modification process (GO:0031399)","2/51",0.00184210688477969,0.0287368674025632,0,0,35.3611357586513,222.6636020827,"HSPB1;MT3"
"31","cartilage development (GO:0051216)","2/52",0.00191432692187302,0.0289001612721475,0,0,34.6521739130435,216.86679079929,"CHI3L1;CD44"
"32","regulation of angiogenesis (GO:0045765)","3/203",0.00200980916556777,0.0293934590464286,0,0,13.4829545454545,83.7253118795857,"APLNR;HSPB1;CHI3L1"
"33","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154)","2/55",0.00213896150042779,0.0303343630969759,0,0,32.6858080393765,200.933875373322,"MT3;CD44"
"34","positive regulation of interleukin-1 beta production (GO:0032731)","2/56",0.00221648730010962,0.0305092957779795,0,0,32.0789049919485,196.060866297839,"IFI16;HSPB1"
"35","response to reactive oxygen species (GO:0000302)","2/59",0.00245696336437194,0.03138753439049,0,0,30.3859649122807,182.584070083145,"JUN;FOS"
"36","negative regulation of nucleic acid-templated transcription (GO:1903507)","4/464",0.00245711925590481,0.03138753439049,0,0,8.08074534161491,48.5553050303998,"JUN;IFI16;MT3;CRYAB"
"37","positive regulation of interleukin-8 production (GO:0032757)","2/61",0.00262383153895407,0.03138753439049,0,0,29.3529845246868,174.448297942305,"CHI3L1;HSPA1A"
"38","positive regulation of interleukin-1 production (GO:0032732)","2/62",0.00270922146673413,0.03138753439049,0,0,28.8623188405797,170.60787877252,"IFI16;HSPB1"
"39","negative regulation of endopeptidase activity (GO:0010951)","2/63",0.00279591112292461,0.03138753439049,0,0,28.3877405559515,166.908481089001,"IFI16;MT3"
"40","cellular response to reactive oxygen species (GO:0034614)","2/63",0.00279591112292461,0.03138753439049,0,0,28.3877405559515,166.908481089001,"JUN;FOS"
"41","positive regulation of gene expression (GO:0010628)","4/482",0.00281948888398152,0.03138753439049,0,0,7.76927674835625,45.6149749822189,"IFI16;HILPDA;MT3;HSPA1A"
"42","inflammatory response (GO:0006954)","3/230",0.00286395408853162,0.03138753439049,0,0,11.8630356427713,69.4646228024417,"CHI3L1;FOS;CD44"
"43","negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)","2/64",0.00288389739057921,0.03138753439049,0,0,27.9284712482468,163.342809931797,"HSPB1;HSPA1A"
"44","regulation of cellular catabolic process (GO:0031329)","2/65",0.00297317715725662,0.0316237933999114,0,0,27.4837819185645,159.904055259431,"IFI16;HSPB1"
"45","positive regulation of cell death (GO:0010942)","2/66",0.00306374731614269,0.031862972087884,0,0,27.0529891304348,156.585852736555,"FOS;MT3"
"46","interferon-gamma-mediated signaling pathway (GO:0060333)","2/68",0.00324874640989989,0.0330524634746336,0,0,26.2305665349144,150.287665755723,"CD44;ICAM1"
"47","cellular response to decreased oxygen levels (GO:0036294)","2/69",0.0033431691568994,0.0332894290516792,0,0,25.8377676833225,147.296878041843,"HILPDA;MT3"
"48","regulation of cellular response to heat (GO:1900034)","2/79",0.00435718091133629,0.0408869650319898,0,0,22.4709203839639,122.15035048353,"CRYAB;HSPA1A"
"49","negative regulation of cellular macromolecule biosynthetic process (GO:2000113)","4/547",0.00443408809974378,0.0408869650319898,0,0,6.81645181092695,36.934489472337,"JUN;IFI16;MT3;CRYAB"
"50","negative regulation of cellular component organization (GO:0051129)","2/80",0.00446549324690422,0.0408869650319898,0,0,22.1817168338907,120.033601265949,"CRYAB;HSPA1A"
"51","negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)","2/80",0.00446549324690422,0.0408869650319898,0,0,22.1817168338907,120.033601265949,"ICAM1;HSPA1A"
"52","regulation of interleukin-8 production (GO:0032677)","2/81",0.00457504999183403,0.0408869650319898,0,0,21.8998348926802,117.977425147853,"CHI3L1;HSPA1A"
"53","regulation of transcription, DNA-templated (GO:0006355)","8/2244",0.00463036142456295,0.0408869650319898,0,0,3.73334736399032,20.0671913990244,"JUN;CEBPD;IFI16;FOS;JUNB;MT3;CRYAB;ETV6"
"54","regulation of interleukin-1 beta production (GO:0032651)","2/83",0.00479788462118455,0.0415816667169327,0,0,21.3569511540526,114.037152705688,"IFI16;HSPB1"
"55","negative regulation of binding (GO:0051100)","2/88",0.00537653728971972,0.0435515147012155,0,0,20.1102123356926,105.090152555561,"JUN;IFI16"
"56","regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)","2/89",0.00549594086676622,0.0435515147012155,0,0,19.8780609695152,103.440369989699,"MT3;CD44"
"57","transforming growth factor beta receptor signaling pathway (GO:0007179)","2/89",0.00549594086676622,0.0435515147012155,0,0,19.8780609695152,103.440369989699,"JUN;FOS"
"58","negative regulation of transcription, DNA-templated (GO:0045892)","5/948",0.00569638059264803,0.0435515147012155,0,0,5.04559915164369,26.0752744112392,"JUN;IFI16;MT3;CRYAB;ETV6"
"59","regulation of cell cycle (GO:0051726)","3/296",0.00579931754301172,0.0435515147012155,0,0,9.16009928637915,47.1746490318387,"JUN;GADD45B;JUNB"
"60","extracellular matrix organization (GO:0030198)","3/300",0.00601863673686967,0.0435515147012155,0,0,9.03489439853076,46.1944618871455,"DST;CD44;ICAM1"
"61","negative regulation of cell death (GO:0060548)","2/94",0.00611115985136419,0.0435515147012155,0,0,18.7930056710775,95.7999529125064,"MT3;HSPA1A"
"62","hemopoiesis (GO:0030097)","2/94",0.00611115985136419,0.0435515147012155,0,0,18.7930056710775,95.7999529125064,"IFI16;ETV6"
"63","receptor-mediated virion attachment to host cell (GO:0046813)","1/5",0.00623493907047315,0.0435515147012155,0,0,208.03125,1056.29666076894,"ICAM1"
"64","positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway (GO:0038033)","1/5",0.00623493907047315,0.0435515147012155,0,0,208.03125,1056.29666076894,"HSPB1"
"65","positive regulation of membrane permeability (GO:1905710)","1/5",0.00623493907047315,0.0435515147012155,0,0,208.03125,1056.29666076894,"MT3"
"66","positive regulation of necrotic cell death (GO:0010940)","1/5",0.00623493907047315,0.0435515147012155,0,0,208.03125,1056.29666076894,"MT3"
"67","positive regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070426)","1/5",0.00623493907047315,0.0435515147012155,0,0,208.03125,1056.29666076894,"HSPA1A"
"68","cellular response to chemical stress (GO:0062197)","2/101",0.00702289056165793,0.0459626578819673,0,0,17.4580588493632,86.5671881666956,"MT3;HSPA1A"
"69","cellular response to oxygen-containing compound (GO:1901701)","3/323",0.00737654982491892,0.0459626578819673,0,0,8.37571022727273,41.1201243193159,"JUN;FOS;MT3"
"70","astrocyte development (GO:0014002)","1/6",0.00747744681013907,0.0459626578819673,0,0,166.416666666667,814.753347497614,"MT3"
"71","heat acclimation (GO:0010286)","1/6",0.00747744681013907,0.0459626578819673,0,0,166.416666666667,814.753347497614,"HSPA1A"
"72","cellular heat acclimation (GO:0070370)","1/6",0.00747744681013907,0.0459626578819673,0,0,166.416666666667,814.753347497614,"HSPA1A"
"73","chitin catabolic process (GO:0006032)","1/6",0.00747744681013907,0.0459626578819673,0,0,166.416666666667,814.753347497614,"CHI3L1"
"74","chitin metabolic process (GO:0006030)","1/6",0.00747744681013907,0.0459626578819673,0,0,166.416666666667,814.753347497614,"CHI3L1"
"75","regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070432)","1/6",0.00747744681013907,0.0459626578819673,0,0,166.416666666667,814.753347497614,"HSPA1A"
"76","Fc-epsilon receptor signaling pathway (GO:0038095)","2/111",0.00842558383702392,0.0459626578819673,0,0,15.8484244116474,75.6997219654546,"JUN;FOS"
"77","Fc receptor signaling pathway (GO:0038093)","2/112",0.00857224220409961,0.0459626578819673,0,0,15.703557312253,74.7367774129609,"JUN;FOS"
"78","astrocyte differentiation (GO:0048708)","1/7",0.0087184638276748,0.0459626578819673,0,0,138.673611111111,657.633560998,"MT3"
"79","negative regulation of intracellular transport (GO:0032387)","1/7",0.0087184638276748,0.0459626578819673,0,0,138.673611111111,657.633560998,"CRYAB"
"80","negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901029)","1/7",0.0087184638276748,0.0459626578819673,0,0,138.673611111111,657.633560998,"HSPA1A"
"81","cellular cation homeostasis (GO:0030003)","1/7",0.0087184638276748,0.0459626578819673,0,0,138.673611111111,657.633560998,"MT3"
"82","positive regulation of microtubule nucleation (GO:0090063)","1/7",0.0087184638276748,0.0459626578819673,0,0,138.673611111111,657.633560998,"HSPA1A"
"83","coronary vasculature development (GO:0060976)","1/7",0.0087184638276748,0.0459626578819673,0,0,138.673611111111,657.633560998,"APLNR"
"84","regulation of necrotic cell death (GO:0010939)","1/7",0.0087184638276748,0.0459626578819673,0,0,138.673611111111,657.633560998,"MT3"
"85","activation of protein kinase activity (GO:0032147)","2/114",0.00886900643199907,0.0459626578819673,0,0,15.4215838509317,72.8699524024449,"CHI3L1;MT3"
