"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","SRP-dependent cotranslational protein targeting to membrane (GO:0006614)","54/90",1.0522195016428e-32,4.55295378360837e-29,0,0,14.8464696223317,1093.17259715053,"RPL3;RPL32;RPL31;RPL34;RPL10A;SRP14;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPLP2;RPL37;SEC61B;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;SRP9;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RPS20;RPS24;RPS23"
"2","cotranslational protein targeting to membrane (GO:0006613)","54/94",2.40842785449959e-31,5.21063366320986e-28,0,0,13.3588669950739,941.815668742156,"RPL3;ARL6IP1;RPL32;RPL31;RPL34;RPL10A;SRP14;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPLP2;RPL37;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;SRP9;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RPS20;RPS24;RPS23"
"3","protein targeting to ER (GO:0045047)","54/103",1.2596955055534e-28,1.81690081750986e-25,0,0,10.8997687745049,700.217632784689,"RPL3;RPL32;RPL31;RPL34;RPL10A;SRP14;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPLP2;RPL37;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;SRP9;RPL37A;RPL24;CHMP4A;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RPS20;RPS24;RPS23"
"4","cytoplasmic translation (GO:0002181)","51/93",2.37679172881624e-28,2.57109445264697e-25,0,0,11.9948868071819,762.954339494661,"EIF4A2;RPL3;RPL32;RPL31;RPL34;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPL37;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;TMA7;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RPS20;RPS24;RPS23"
"5","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)","55/113",5.23971365896386e-27,4.53444820046732e-24,0,0,9.37941420855837,567.581469275264,"RPL3;RPL32;RPL31;RPL34;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;PPP2R1A;RPS18;RPL35;RPLP2;RPL37;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RNPS1;RPS20;SKIV2L;DCP1A;RPS24;RPS23"
"6","peptide biosynthetic process (GO:0043043)","60/162",1.09522079793065e-21,7.89836732107656e-19,0,0,5.82000839874665,280.892991585178,"PCSK1;RPL3;RPL32;RPL31;RPL34;MRPS12;RPL10A;RPL9;RPL6;RPL7;MRPL41;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPLP2;RPL37;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;MRPS5;MRPS18C;MRPL51;EEF1A2;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;MRPL28;RPL35A;RPL23A;MRPL23;RPS26;RPS25;RPS27;RPL27A;RPS20;RPS24;RPS23"
"7","translation (GO:0006412)","64/214",1.60608232465137e-17,9.92788316966642e-15,0,0,4.21946798752523,163.167454537843,"RPL3;RPL32;RPL31;RPL34;MRPS12;RPL10A;RPL9;RPL6;RPL7;MRPL41;RPS4X;TRMT112;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPLP2;RPL37;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;MRPS5;MRPS18C;MRPL51;EEF1A2;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;MRPS34;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;PTCD3;TMA7;MRPL28;RPL35A;RPL23A;MRPL23;EEF2;RPS26;RPS25;RPS27;RPL27A;RPS20;RPS24;RPS23"
"8","nuclear-transcribed mRNA catabolic process (GO:0000956)","54/171",3.96901524350061e-16,2.14674111982839e-13,0,0,4.54768220285462,161.273742126923,"RPL3;RPL32;RPL31;RPL34;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;PPP2R1A;RPS18;RPL35;RPLP2;RPL37;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RNPS1;RPS20;DCP1A;RPS24;RPS23"
"9","rRNA metabolic process (GO:0016072)","52/162",6.47175306297354e-16,3.11147505594295e-13,0,0,4.65464486306476,162.791151299015,"RPL3;RPL32;RPL31;RPL34;PWP2;RPL10A;RPL9;RPL6;WDR43;RPL7;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL35;RPLP2;RPL37;RPL21;RPS7;IMP3;RPL23;RPL22;RPS6;RPL13A;EBNA1BP2;RPL37A;RPL24;RPL27;RPL26;MAPT;RPL10;RPL12;RPL36A;SNU13;NOL6;RRP7A;RPL14;RPL13;RPS2;RPL19;NOP56;RPL35A;RPL23A;WDR55;RPS25;RPS27;LAS1L;RPL27A;MPHOSPH10;ESF1;RPS24"
"10","rRNA processing (GO:0006364)","53/173",3.10999104181316e-15,1.34569312379255e-12,0,0,4.34877370532458,145.267117649575,"RPL3;RPL32;RPL31;RPL34;PWP2;RPL10A;TFB1M;RPL9;RPL6;WDR43;RPL7;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL35;RPLP2;RPL37;RRP15;RPL21;RPS7;IMP3;RPL23;RPL22;RPS6;RPL13A;EBNA1BP2;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;SNU13;NOL6;RRP7A;RPL14;RPL13;RPS2;RPL19;NOP56;RPL35A;RPL23A;WDR55;RPS25;RPS27;LAS1L;RPL27A;MPHOSPH10;ESF1;RPS24"
