gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
FO538757.2,2.7406725258539,4.35498972623608e-07,0.00144269279486244,0.748050668651079,0.999998424039626
AP006222.2,0.372958645825721,3.07514347628421e-08,0.00144269487147271,0.972053387830038,0.999998424039626
RP11-206L10.9,0.179592244373032,5.32602283894803e-08,0.0014426949251316,0.936380867100638,0.999998424039626
LINC00115,0.741466737412535,-3.20959438902284e-07,0.00144269441171808,0.631919373630071,0.999998424039626
FAM41C,0.00841303906318115,5.30144520091763e-08,0.00144269500185236,0.728205065029313,0.999998424039626
SAMD11,0.20601574471895,9.39731678542832e-08,0.00144269492862207,0.972879422522252,0.999998424039626
NOC2L,0.755851597111967,3.32086490504483e-08,0.0014426939318289,0.993138615204332,0.999998424039626
KLHL17,0.196849262603515,7.78901217695101e-08,0.00144269492257236,0.9904826942863,0.999998424039626
PERM1,0.173191711524572,-2.31240175383678e-07,0.00144269500535142,0.478089464895955,0.999998424039626
RP11-54O7.17,0.168387906765067,1.95605497198387e-07,0.00144269498540551,0.835048547501674,0.999998424039626
HES4,0.479590187803659,-3.73683992471602e-08,0.00144269480996788,0.868372568963935,0.999998424039626
ISG15,0.146420477896132,2.76336359879115e-08,0.00144269492176187,0.881152439295445,0.999998424039626
AGRN,1.11547606239177,-9.8545421358859e-09,0.00144269362861093,0.999879734471064,0.999998424039626
C1orf159,0.479369580022582,1.6885700272032e-07,0.00144269472376315,0.853946834892736,0.999998424039626
SDF4,0.602985979175927,-3.69328638353573e-07,0.00144269439826057,0.58129909368295,0.999998424039626
B3GALT6,0.176410067143813,6.36368316902189e-08,0.00144269492198033,0.945067154389057,0.999998424039626
FAM132A,0.0648152995445661,-1.57495313902932e-07,0.00144269496578483,0.595531255858023,0.999998424039626
UBE2J2,1.13948716233825,-2.96177175322708e-07,0.00144269345962904,0.797588509029584,0.999998424039626
SCNN1D,1.050877694601,-4.2959382058771e-07,0.00144269381443694,0.659046875775743,0.999998424039626
ACAP3,1.69668465017389,1.4482877872416e-07,0.00144269303208944,0.900413650159451,0.999998424039626
PUSL1,0.138054467264527,3.94430145761298e-08,0.00144269492375173,0.896174756199149,0.999998424039626
CPSF3L,3.55020799819274,-1.86727535045211e-06,0.0014426925808729,0.211152682472154,0.999998424039626
CPTP,0.514427479561351,-3.52821887693893e-07,0.00144269475521825,0.456349965097392,0.999998424039626
DVL1,1.2662704315235,-6.93415253308349e-07,0.00144269388081544,0.476771382686473,0.999998424039626
MXRA8,0.164514166929807,-5.51772923425246e-08,0.00144269491261315,0.763230788565031,0.999998424039626
AURKAIP1,1.90348524825966,3.22832457875462e-07,0.0014426933067505,0.7755325622069,0.999998424039626
CCNL2,3.3383354534201,-1.56745328694235e-07,0.00144269118929138,0.962603517776141,0.999998424039626
MRPL20,1.61473605143259,-8.96992797003819e-07,0.00144269353277962,0.445223248665816,0.999998424039626
RP4-758J18.13,0.0912387998904837,-3.87162641793303e-08,0.00144269493257471,0.754557528365698,0.999998424039626
ANKRD65,0.0731921392883851,1.35819080963283e-07,0.00144269498413274,0.979150507906174,0.999998424039626
VWA1,0.796926117826652,-4.11658253106813e-07,0.00144269388016525,0.641489827206326,0.999998424039626
ATAD3C,0.151301206136783,-8.65164834325775e-08,0.00144269492219807,0.718490824647217,0.999998424039626
ATAD3B,0.636956594545023,1.01303983381362e-06,0.00144269466573957,0.210008656272043,0.999998424039626
ATAD3A,0.328055123533456,6.76374312124528e-08,0.00144269490735546,0.968563830260816,0.999998424039626
TMEM240,0.0468156673740433,1.16778106591554e-07,0.0014426949870174,0.894198292130742,0.999998424039626
SSU72,2.12349093248976,-9.89946130671259e-07,0.00144269312364754,0.432025619500228,0.999998424039626
RP5-832C2.5,0.809045564983946,-1.02053983623482e-06,0.00144269464773991,0.13130770842351,0.999998424039626
C1orf233,0.394532774770092,5.08191766572954e-08,0.00144269489598442,0.979923130096821,0.999998424039626
