gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
SPON2,50.7899166768335,1.78084724783568,0.357156751695241,2.88493083977268e-08,0.000490092051060584
RP4-736H5.3,7.78582600948198,5.12354242724531,1.39043655461838,6.36897834429745e-07,0.00540981020564625
RP11-347C12.1,18.2802238855671,-2.21739881140491,0.53403924839619,1.32258709608864e-06,0.00748936986278458
ZNF669,52.7411070658006,-1.33734320641813,0.328733234900949,2.11657845734151e-06,0.00833200273687068
PART1,264.480625428923,1.11474401633529,0.277823572122251,2.45232008973119e-06,0.00833200273687068
AC016831.7,85.9134067228506,-1.58577132713307,0.413148321546579,5.09041355632733e-06,0.0123537064992698
ONECUT2,239.499454295685,1.11337815344346,0.289795553854386,5.06657300520416e-06,0.0123537064992698
TRAPPC12-AS1,10.6437877916719,-0.0413833959684691,0.0980808423540473,7.72338358006678e-06,0.0131204840258175
ANKRD20A1,13.6625921274554,-2.70393723389433,0.715405455132421,6.56240927401723e-06,0.0131204840258175
GFAP,17.1015358840762,-1.55576427722299,0.41354473765984,7.01180450038205e-06,0.0131204840258175
TRIM54,62.6225056479538,1.17450366145024,0.331700973259666,1.59993535876234e-05,0.0228620579354889
HOMER1,536.820681504203,0.674948229266983,0.189988871059286,1.61493227705361e-05,0.0228620579354889
PROX1,43.8020081206085,-1.3928314217101,0.41627484815093,2.74642519473125e-05,0.0311041808053963
FSTL5,84.8452218810218,-0.985314858506049,0.290970783292632,2.50237292353539e-05,0.0311041808053963
DBP,92.971216085139,-0.875058157749454,0.258837089918619,2.69779341525012e-05,0.0311041808053963
MTSS1,134.582315583162,-0.87944201165185,0.262637888972002,2.95813807699662e-05,0.0314080310325116
CALB2,44.7024760773349,-0.053397549886548,0.110182280348734,3.27075568084817e-05,0.0326844691213227
STRBP,588.688043975089,0.444738194293428,0.135882022083978,5.21367739330981e-05,0.0492055286430817
GP1BA,2.75704965677728,-0.0240429937173525,0.0868595037065762,7.57351234689356e-05,0.0677151724994883
NEDD9,37.3853422756578,1.30971337375304,0.435235392239906,8.08105579299198e-05,0.0686404879056739
MAF,123.269715861336,-1.11762324268279,0.372020417177799,8.51858027016079e-05,0.0689112579188054
PRELP,23.5067004442436,-1.40701095351199,0.46847731414388,0.000100996824335672,0.0779879114461088
MTRNR2L1,23.341555954957,-0.00984065423401055,0.0825262818344624,0.000110256165913403,0.0814361628929084
VWA1,12.6616824193746,-0.107547116396666,0.295386887646188,0.000116847780565993,0.0827087540106284
GPRIN3,39.7104608954036,-1.0821979498385,0.379437973822158,0.000127038758853627,0.0863253774162163
KIT,82.5780980780726,-1.28628944298366,0.452381184761531,0.00013607282671028,0.0889078915443935
ITGA8,18.4210397160686,-1.18146426709203,0.418940791015662,0.000155100985119191,0.0975872420446228
ZNF449,48.5428605270506,1.31325862530432,0.484724631055261,0.000210509573655612,0.112677581636134
SLA,10.2726225012852,-1.56426353101269,0.588328082013475,0.000212248799879697,0.112677581636134
JAM3,112.175155198482,0.6877439767375,0.245205354909681,0.000200038065001014,0.112677581636134
SYCE1,101.556448375296,0.634032512110672,0.224451778010495,0.000188077909028585,0.112677581636134
ATP5D,477.172079599667,-1.02676996910799,0.378523820637225,0.00020911103810776,0.112677581636134
NRBP2,224.249662969509,0.912338692647752,0.33628199468111,0.000225487567980019,0.116078266813472
INHA,21.9470043580375,1.13547413446758,0.433554808758378,0.000268511465573576,0.128079817730785
CHN2,51.8677961527069,-0.854615580006653,0.32675727741704,0.000271155216427032,0.128079817730785
CPLX3,21.6537084743351,-1.35148249346167,0.528034601396406,0.000271419439504843,0.128079817730785
PCSK1,80.0537630771753,0.988568554591576,0.38722941744287,0.000315315932457014,0.13523471578453
PDK3,26.7406906784623,-0.0783834474786107,0.152323736167262,0.00031257522011861,0.13523471578453
DENND3,266.229356670755,0.75731369321316,0.292954260603438,0.000318506600718475,0.13523471578453
SKA3,4.47534170541084,-0.0285419434874634,0.0890050820371822,0.000314797726231268,0.13523471578453
VASH1,70.0098446995256,0.888279981183839,0.345142059110941,0.000326384703741802,0.13523471578453
LY6H,1005.91042190787,-0.837211918726023,0.326857817675903,0.000341623665925739,0.138178638970154
SPRY4-IT1,11.173331049985,2.27524462982606,0.91439583255618,0.000361772159768134,0.142925243026536
SLITRK2,96.2742743340202,0.714344608931216,0.282522812429387,0.000393772072175162,0.14865333249137
NRIP2,23.680422963161,-0.0517130889848715,0.10748128433618,0.000385355038650168,0.14865333249137
ZFYVE28,266.802600731806,0.584009453561264,0.232739657027777,0.000444349139269103,0.156929583970717
LPL,27.446232545023,1.205430874876,0.505442381529236,0.000446404077123041,0.156929583970717
SORL1,936.189001181585,0.51624886989213,0.207464522798317,0.00047851449428102,0.156929583970717
LINC01252,206.5564601225,0.621643625959819,0.251310595468852,0.000478739315414072,0.156929583970717
NR4A1,46.8494044594282,1.31783393113432,0.56033909095099,0.000471406803734157,0.156929583970717
PTGES3L,16.6172168252351,1.15409082540316,0.468242071018369,0.000480358980838078,0.156929583970717
DLGAP1-AS4,128.065224068418,0.960903141083663,0.391464686648562,0.000438360494835124,0.156929583970717
ASTN2,62.020004836164,-0.892243232791346,0.377104655231127,0.00049054947170917,0.157234989158404
ERBB4,224.49592718654,-0.975284819375647,0.415061880304454,0.000517427866390546,0.161480846960603
CXCL14,90.8497932365904,-0.0754810113144773,0.144706830691021,0.000522807074572237,0.161480846960603
PRKD1,37.0332917655043,0.807327483732344,0.33876643254199,0.000540104630989331,0.163844597700835
AC092669.3,9.51296599447019,-1.69704868702191,0.716238526811597,0.000573228807678526,0.170842297979698
XX-CR54.1,9.03015190512848,-0.0332092066328505,0.0916056661498675,0.000611246958094728,0.179032126277814
CLTB,426.870983994207,-0.734611762152848,0.317900023385294,0.000623613095363818,0.179558292610857
CARHSP1,39.2959556831914,-1.11055058781618,0.484032139766483,0.000634935290976895,0.179771345385258
GCNT4,63.1337566112142,0.943887707167703,0.413135662186717,0.000673373469355042,0.186320178775038
ZNRF3-AS1,14.1369871240514,-1.20786033193325,0.529617023762189,0.000680000652463641,0.186320178775038
SLC9A9,25.6729927710733,-0.952387320405381,0.415274450434297,0.000695488169463684,0.18753893687062
NGB,82.0058443310136,-0.678842268109107,0.2991122600513,0.000708292280092334,0.188007332097009
TARBP1,478.507848155359,0.896693584752066,0.400955521444317,0.000727259028044336,0.188292443508457
REXO4,107.295149108648,-0.58990115465139,0.258128981096696,0.00076175804819208,0.188292443508457
