gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
RP11-34P13.7,0.072122288112632,1.43546488696196e-07,0.00144269498302136,0.996198531817554,0.999942979864454
FO538757.2,11.044364138122,-4.97407797265305e-06,0.00144269174088155,0.148017616782134,0.999942979864454
AP006222.2,0.600376451579206,2.32465486815055e-07,0.00144269459528827,0.758923701174532,0.999942979864454
RP4-669L17.10,0.0825052716190127,-9.93987321969291e-08,0.00144269494281601,0.771344956043313,0.999942979864454
RP5-857K21.4,0.0897838829545662,-2.04450736893119e-07,0.00144269499199339,0.657636262258738,0.999942979864454
RP11-206L10.9,0.516316903371275,-3.08979903676262e-07,0.00144269471079071,0.547487618460141,0.999942979864454
LINC00115,0.0409517147816685,1.32093756475695e-07,0.00144269497973535,0.991973866067356,0.999942979864454
RP11-54O7.1,0.0746693354616953,-1.97926466493886e-07,0.00144269499099454,0.657636262258738,0.999942979864454
NOC2L,3.69098826271349,-7.49459883970746e-07,0.00144269065789391,0.656726372991998,0.999942979864454
KLHL17,0.923617579630349,2.13913835866878e-07,0.00144269403958339,0.850274618107475,0.999942979864454
RP11-54O7.17,0.0620294142281784,-1.90190426373444e-07,0.0014426949900988,0.67140558762814,0.999942979864454
HES4,2.39763570609023,-7.7946131021504e-08,0.0014426942848447,0.899641105459822,0.999942979864454
ISG15,0.238461908246353,2.35126618434849e-07,0.00144269498966932,0.652783469387609,0.999942979864454
AGRN,4.20083114839256,4.72962993101736e-07,0.00144269068036882,0.765185422871996,0.999942979864454
C1orf159,1.086491335879,-1.08497403385409e-07,0.00144269372855038,0.86625186041556,0.999942979864454
TNFRSF18,0.0737414746302545,1.42877197826887e-07,0.00144269498294517,0.996198532042987,0.999942979864454
SDF4,3.38132494354838,1.89516532339946e-06,0.00144269159841142,0.269695850786358,0.999942979864454
B3GALT6,0.52704637620868,-3.08049084626261e-07,0.00144269472264985,0.54912602740314,0.999942979864454
FAM132A,0.226527371782516,7.66714449109008e-08,0.00144269491727982,0.924187519236243,0.999942979864454
UBE2J2,2.25817672514083,3.16485329002343e-07,0.00144269226456237,0.831114274329382,0.999942979864454
RP5-902P8.10,0.0204758573908343,9.08845824065069e-08,0.00144269498819381,0.908794979455302,0.999942979864454
SCNN1D,2.33224679671308,1.4303011669524e-06,0.0014426933339118,0.23796589684598,0.999942979864454
ACAP3,12.2682962540623,2.91307455582085e-07,0.00144268446767517,0.68180963925508,0.999942979864454
PUSL1,0.316957835930833,1.45362059140629e-07,0.00144269491261654,0.780316598364017,0.999942979864454
CPSF3L,5.52734157214033,-5.61006801464795e-07,0.00144268862972263,0.775856778322221,0.999942979864454
CPTP,0.967841722145026,-5.99434023252814e-07,0.001442694206203,0.454687293974433,0.999942979864454
DVL1,2.678902972919,5.51322494148509e-07,0.00144269176087671,0.708677688920085,0.999942979864454
AURKAIP1,3.48062187903407,-1.91807471703397e-06,0.00144269178317767,0.252619978220811,0.999942979864454
CCNL2,4.52582373680634,2.29841011736549e-06,0.00144269043648697,0.248382539830481,0.999942979864454
MRPL20,2.271214451945,4.5211623859255e-07,0.00144269266313036,0.702016905769208,0.999942979864454
RP4-758J18.13,0.144534685847191,-2.41317018613301e-07,0.00144269495629518,0.669482011123057,0.999942979864454
VWA1,0.124058828456357,-2.18521456002093e-07,0.00144269499378691,0.574973243390693,0.999942979864454
ATAD3C,0.221166061884552,4.13417515525505e-08,0.00144269491534356,0.968648731021687,0.999942979864454
ATAD3B,2.15450316491604,2.01961095042048e-06,0.00144269325400652,0.144260968900842,0.999942979864454
ATAD3A,1.37875526111424,-4.88511750331689e-07,0.00144269362977116,0.669250619370974,0.999942979864454
TMEM240,0.273743741028296,-2.69755842620834e-07,0.00144269500653309,0.424974462836013,0.999942979864454
SSU72,5.31128907243035,-2.86360171062449e-06,0.00144269081290447,0.132697186214139,0.999942979864454
RP5-832C2.5,0.281233435537065,-2.37946068660074e-07,0.00144269497473205,0.509967591292969,0.999942979864454
C1orf233,0.716331687108691,2.61951330245362e-07,0.00144269445517238,0.753741054124982,0.999942979864454
RP11-345P4.9,1.43718241042904,-4.49814698876256e-07,0.00144269374138624,0.600255553497128,0.999942979864454
MIB2,4.52487400579011,4.53955794403859e-07,0.00144269150571605,0.7453741647835,0.999942979864454
MMP23B,0.0743296938177944,1.25000089010759e-07,0.00144269497733522,0.921701992399733,0.999942979864454
CDK11B,1.89680213618912,-3.68761668987746e-07,0.0014426933705695,0.712783988714084,0.999942979864454
SLC35E2B,4.20319500948295,-1.20346990365289e-06,0.00144268991902661,0.537832874608385,0.999942979864454
CDK11A,2.33390875101308,-2.74300946689394e-06,0.00144269440183742,0.0264402058125509,0.999942979864454
SLC35E2,0.0204758573908343,9.08845824065069e-08,0.00144269498819381,0.908794979455302,0.999942979864454
NADK,2.49790022220687,9.70603950130591e-07,0.00144269213784556,0.577591500193415,0.999942979864454
GNB1,6.41495962762473,3.02552250968554e-06,0.0014426887664465,0.208351862118817,0.999942979864454
TMEM52,0.150238849803198,1.76676498882468e-07,0.00144269498121271,0.772840958888398,0.999942979864454
CFAP74,1.21719919422709,-2.65108803342376e-07,0.00144269363455848,0.803499845538578,0.999942979864454
RP11-547D24.1,0.18395985807373,-2.43762029130859e-07,0.00144269499898844,0.523945538887233,0.999942979864454
GABRD,4.05777899694364,-2.05619699537339e-06,0.00144269050635563,0.271970806764049,0.999942979864454
PRKCZ,4.29619139068878,-4.79503828097974e-07,0.00144268935713018,0.992297609244038,0.999942979864454
RP5-892K4.1,0.291959273101489,-1.26587182591716e-07,0.00144269491629683,0.724521090528952,0.999942979864454
FAAP20,0.990159236760889,1.25894072100668e-07,0.0014426940968619,0.921837625903551,0.999942979864454
SKI,2.08377610923947,-3.09624826395904e-07,0.00144269232289572,0.819173806334731,0.999942979864454
MORN1,0.373308760079213,-4.03291513696203e-09,0.00144269483283869,0.956716268059002,0.999942979864454
RER1,2.53834531839985,-1.04114801993672e-06,0.00144269233111749,0.446773861953515,0.999942979864454
PEX10,0.491448953815843,-3.37694339518612e-07,0.00144269475007217,0.499599581114459,0.999942979864454
PLCH2,0.111834182370593,-7.41765337440643e-08,0.00144269493512355,0.815059282934729,0.999942979864454
PANK4,1.24839750159184,5.89934584515807e-07,0.00144269361029082,0.611363765431877,0.999942979864454
HES5,0.072122288112632,1.43546488696196e-07,0.00144269498302136,0.996198531817554,0.999942979864454
