gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
PRICKLE2-AS1,33.9672384756992,-1.74631407378979,0.403440884031866,6.48825629433429e-07,0.00465491891635042
CARHSP1,31.2665392154955,-1.60685299305109,0.373454619044614,6.46123496599472e-07,0.00465491891635042
DBP,120.146429493902,-1.08563298783797,0.254926560434895,9.71664121141891e-07,0.00465491891635042
TRAPPC12-AS1,11.376863045199,-2.55838588600883,0.609237814039631,1.86772879068182e-06,0.00536859963593582
KRT17,124.656230950755,-1.84655476149171,0.453819070445098,1.8296954603537e-06,0.00536859963593582
MESP1,101.187027305781,-1.45631434094865,0.388770701819652,6.81844713089535e-06,0.0163324536942047
ZNF669,48.6555285928282,-1.24034048685907,0.351956410304901,1.59045691213121e-05,0.0326543524873568
TRIM54,106.384287772617,0.875612153029461,0.249681641053611,1.96753284883137e-05,0.0353467276292555
CLTB,536.782479874259,-0.913289026276036,0.266631598634969,2.44417206258119e-05,0.0390307120926854
HOMER1,419.67439973014,0.55468367690354,0.161464086309108,2.89737600915397e-05,0.0416410880035609
AGRN,267.727641984627,0.829546423991338,0.250039380956465,3.68584893275783e-05,0.0452394607545845
AC016831.7,67.9087951404538,-1.60073240184662,0.494270890834193,3.77729981251749e-05,0.0452394607545845
PRELP,89.9849203012848,-1.57767723616795,0.496614504387726,4.73800079521229e-05,0.0453963649525273
RALGDS,311.970867760741,0.637149543630289,0.193932281556089,4.43474134354926e-05,0.0453963649525273
BHLHE41,152.202155074482,-0.929803258447058,0.283717635380339,4.26351096254217e-05,0.0453963649525273
NRBP2,217.250849079501,1.08178088159243,0.343266816274465,5.89431764375617e-05,0.0498312548094492
RP11-161M6.2,415.22491831294,1.07078112965135,0.337874360252009,5.77344975805855e-05,0.0498312548094492
L3MBTL1,104.734773558099,0.937140945940591,0.300016239995654,7.03424520787085e-05,0.0561645400708444
LRRC2,54.8851821855586,1.01068810518626,0.332853294827334,8.40389198382505e-05,0.0571622654545754
THPO,12.0566362050095,1.68109986909077,0.549266876839348,9.14787159376033e-05,0.0571622654545754
PDGFA,91.1594380765091,0.632533457364993,0.204237282039967,8.84141472016168e-05,0.0571622654545754
NPB,11.7988283856131,-1.71734336776935,0.564765360446595,8.53988858527098e-05,0.0571622654545754
ZNRF3-AS1,10.2533995666836,-1.59233659487281,0.526020775558656,8.33241881301131e-05,0.0571622654545754
RNF24,166.024472046715,0.684795744330146,0.225053378970452,9.65137499408344e-05,0.0577956505895697
SLITRK2,48.1160873435553,1.09680156592836,0.372046147478483,0.000109572974351213,0.0583252884213197
ANKRD20A1,9.4090233429256,-0.0745705423618111,0.146721763161427,0.000107249634557765,0.0583252884213197
MIAT,3174.38385688188,0.960379199057562,0.321387758705239,0.000103306233072394,0.0583252884213197
OR2L13,11.6467525771524,-1.62863862267932,0.541524281580656,0.000132837345136439,0.0647025291688921
DENND3,168.46733509823,0.895882935971151,0.308913456419671,0.000137571116708219,0.0647025291688921
GFAP,17.6038522152488,-1.52133939053368,0.529465232982944,0.000133261945341503,0.0647025291688921
PRR22,22.1586685315852,1.37446978799263,0.472673963320052,0.000139561536615339,0.0647025291688921
ZBBX,103.920457065424,0.931656340411708,0.32571281181652,0.000151120003055096,0.0658150510275103
HLF,602.317494291824,-0.642722597507527,0.221128379366034,0.000149613612148537,0.0658150510275103
PART1,306.289441196857,0.732937880208038,0.25653478201411,0.000168595609767623,0.0712663559876553
INHA,19.1200137106898,1.18924335709943,0.422339050224527,0.000197645406203484,0.075625117872328
RP11-689P11.2,21.6439725131817,1.15221993533513,0.416755761759305,0.000199955084828031,0.075625117872328
VCAN,13.1910946181514,1.83559187745465,0.674263644464908,0.00019605732352256,0.075625117872328
RP11-727F15.9,10.8700524800237,-1.44857636506645,0.5224235518323,0.000194148261066542,0.075625117872328
FAM84A,116.534670518279,0.565175078799783,0.202530267328644,0.000226568911101164,0.0834935484704084
CHI3L1,63.7042768704363,1.34551072907907,0.509516335623994,0.000263161157257751,0.0912002805426967
VWA5B2,198.951439892587,0.735339670601031,0.274157942262826,0.000271129710650504,0.0912002805426967
NGB,160.931012862859,-0.868150038624064,0.32655351323327,0.000274193390319801,0.0912002805426967
MTRNR2L1,16.4647116445856,-0.0166551396227117,0.101892680521546,0.000279210433055848,0.0912002805426967
ISOC2,128.67179485233,-0.921880289195008,0.347157504084223,0.000275926781063584,0.0912002805426967
C1orf159,64.2517536321784,0.585630296698471,0.216511808607838,0.000289845232025113,0.092570126103665
SLC30A7,116.054288194965,0.591769222775312,0.222766332598933,0.000319896712885708,0.0977430698993347
NPAS2,165.61664404256,0.621352204820385,0.235403161545246,0.000326444987139442,0.0977430698993347
ATP5D,579.434100571855,-0.974791356001704,0.377622870664926,0.000313200714102772,0.0977430698993347
OVGP1,43.1995751884355,0.769737253759005,0.297905403771338,0.00033577324351159,0.098201250417476
RP1-239B22.5,92.849960238987,0.720976155752268,0.278059427268912,0.000347789544277178,0.098201250417476
AP000708.1,27.3445246647408,-0.973209303260898,0.383840939312889,0.000355306500258054,0.098201250417476
TEF,280.097065531729,-0.913973044041033,0.356768229163668,0.000350577753471854,0.098201250417476
DGKQ,89.3798526809551,0.63250286249346,0.243618216953815,0.000366723852582449,0.099444437911603
GOLGA8B,653.625570632963,0.827297012605,0.330415976286234,0.000415511124281002,0.110587516262344
CTNND1,274.990996129262,0.44814349599616,0.171078835939976,0.000440169437155143,0.115020275468977
RP3-525N10.2,522.013117588835,1.08220004965474,0.445138160178478,0.000462176894676273,0.116533444391007
PAFAH1B3,77.7473692773062,-0.944767185983103,0.382340763047016,0.000454573161682477,0.116533444391007
