gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
CARHSP1,19.8479874708383,-1.40982303419017,0.372087041454923,5.75994163982451e-06,0.120849335545158
PART1,54.6681608194917,0.922356282073982,0.272578745857762,2.49578855995814e-05,0.150200342011485
AC016831.7,18.1912646341074,-1.67833679762156,0.506271795873591,3.44662226831239e-05,0.150200342011485
STRBP,147.116353390748,0.621236780805593,0.188733122717727,3.57943715770185e-05,0.150200342011485
CALB2,17.0397225367857,-6.59218319126109e-06,0.00144269965021561,1.5934267618908e-05,0.150200342011485
COL24A1,22.9819129270815,1.64042526203605,0.550588243642533,0.00010073656199246,0.352258967860634
BX255923.3,18.0835395648289,1.29254151277076,0.450191718199675,0.000145783089541025,0.436953571665749
RP4-736H5.3,3.6816691007216,3.8776831672936,1.56056678864261,0.000222508076817072,0.518715773299889
NPTX2,10.2870600443072,1.89109026117196,0.681551493984334,0.000220864115765533,0.518715773299889
ELK1,36.394541564771,-1.13559601324992e-05,0.00144270370993305,0.000356399398405541,0.679783252540605
HRH3,37.7751444321723,-1.1291368478231e-05,0.00144270374610077,0.000345030117006504,0.679783252540605
RXFP1,40.9127446708814,0.950590196544868,0.387738758158542,0.000413286408271616,0.722596844328899
RP11-34P13.7,0.458138328163808,2.23552046609324e-07,0.00144269473307229,0.67102359336066,0.99996562873245
FO538757.2,124.524191528902,-1.9122484272589e-06,0.00144267968784983,0.624958221463858,0.99996562873245
AP006222.2,14.2118437618862,6.53463270816401e-07,0.00144268511025388,0.791899916821242,0.99996562873245
RP4-669L17.10,0.999265669264338,4.17949460466852e-09,0.00144269449952042,0.989177344088411,0.99996562873245
RP5-857K21.4,1.08346933259715,5.88753329054268e-08,0.00144269407183547,0.942543318559983,0.99996562873245
RP11-206L10.9,11.2141171489628,-1.75789733369367e-06,0.00144268934327559,0.802898146744927,0.99996562873245
LINC00115,4.32565280422945,2.81064305386775e-06,0.00144269257160398,0.0964624795630888,0.99996562873245
FAM41C,1.30063571975002,3.90183199180909e-07,0.00144269399807457,0.651598991150575,0.99996562873245
RP11-54O7.1,0.42446038200779,-1.38319489765846e-07,0.00144269473422508,0.800999417894853,0.99996562873245
RP11-54O7.3,0.18361059119114,-2.26400079004508e-07,0.00144269498637263,0.720362404013568,0.99996562873245
SAMD11,0.0837017052646911,-1.93474731118926e-07,0.00144269498074991,0.720362404013567,0.99996562873245
NOC2L,51.1168820580781,-2.3849783570224e-06,0.00144267265647698,0.661449346553717,0.99996562873245
KLHL17,9.54150314032916,-2.95514889391153e-06,0.00144269051344465,0.156436056489435,0.99996562873245
PERM1,0.500718375452152,9.41631587728942e-08,0.00144269459863198,0.892036887130812,0.99996562873245
RP11-54O7.17,0.571504467647637,8.98724221145116e-07,0.00144269484598565,0.160550672063078,0.99996562873245
HES4,12.1037195616329,3.36138192127931e-07,0.00144269345383118,0.758177719424222,0.99996562873245
ISG15,2.43225999937787,-8.15404757810579e-07,0.00144269281173127,0.533365799436528,0.99996562873245
AGRN,45.3786048041709,5.85654424885842e-06,0.00144268571529071,0.260073970778951,0.99996562873245
C1orf159,18.2633435723119,8.04193838989284e-06,0.00144269442287519,0.234394247488398,0.99996562873245
LINC01342,0.0837017052646911,-1.93474731118926e-07,0.00144269498074991,0.720362404013567,0.99996562873245
TTLL10,0.140714227667115,-6.04264009846088e-08,0.00144269492339275,0.860311053230497,0.99996562873245
TNFRSF18,1.41285586186053,6.43796252321154e-07,0.00144269412293945,0.447522201467991,0.99996562873245
TNFRSF4,1.38527954025307,1.46062168622242e-07,0.00144269399373775,0.894785849024965,0.99996562873245
SDF4,52.895705779286,-3.44911999966265e-06,0.00144268319970143,0.273353868995732,0.99996562873245
B3GALT6,12.2574163131799,-2.01010294592122e-06,0.00144268680879723,0.429622378141414,0.99996562873245
FAM132A,1.51061902165714,1.47240055219663e-07,0.00144269376750837,0.884259371242708,0.99996562873245
UBE2J2,35.9718272323704,-2.54445139114867e-06,0.00144267602519453,0.502665814851992,0.99996562873245
RP5-902P8.10,0.339309836151697,2.54716794377945e-08,0.00144269479521809,0.97980327057685,0.99996562873245
SCNN1D,19.076935610083,2.21624164871412e-06,0.00144268455668155,0.439798267607284,0.99996562873245
ACAP3,184.225892788518,5.12362574018273e-06,0.00144267212634338,0.228481528052735,0.99996562873245
PUSL1,5.1839843495791,-3.16230183220089e-07,0.00144269137499469,0.859101463162481,0.99996562873245
CPSF3L,72.6296176673464,-3.30167729773619e-06,0.0014426765431262,0.387807882547357,0.99996562873245
CPTP,17.277396004718,-9.234842098909e-07,0.00144268640211668,0.490856316541683,0.99996562873245
TAS1R3,0.330949717241407,1.64988609623777e-07,0.00144269478315624,0.820129897755039,0.99996562873245
DVL1,39.5569725093665,-4.77965401193327e-06,0.0014426758770331,0.254771280979657,0.99996562873245
MXRA8,0.355513498234869,-2.25582581069132e-07,0.00144269479539981,0.589742018315231,0.99996562873245
AURKAIP1,42.5603391717165,-2.60402588405003e-06,0.00144268124735089,0.331735370060885,0.99996562873245
CCNL2,81.9309102110313,8.52888730803059e-06,0.0014426754547574,0.148926177241948,0.99996562873245
MRPL20,39.655453475454,1.69221730904312e-06,0.00144268274503947,0.916888996851261,0.99996562873245
RP4-758J18.13,1.87397638482065,-5.6896626462786e-09,0.00144269309821566,0.99291995852977,0.99996562873245
ANKRD65,6.82665278273352,-4.28813532935569e-06,0.00144269462515026,0.0281499931107137,0.99996562873245
VWA1,5.44299631169991,-2.49659285646427e-06,0.00144269190623491,0.151523988040217,0.99996562873245
ATAD3C,1.99738215257278,7.31482876054878e-07,0.00144269341371051,0.506197111299698,0.99996562873245
ATAD3B,29.2173782036132,7.12315610511792e-06,0.00144268866733472,0.0390886826586806,0.99996562873245
ATAD3A,17.318774517204,3.44549348099347e-06,0.00144268264590801,0.287485489169852,0.99996562873245
TMEM240,4.82525559583369,1.21295111540693e-06,0.0014426905507244,0.515412475766085,0.99996562873245
SSU72,76.1156968986223,-4.06684378559628e-06,0.0014426749450829,0.319677981225162,0.99996562873245
RP5-832C2.5,4.75435272131824,-6.60301711628713e-07,0.00144269163040501,0.754294967471979,0.99996562873245
C1orf233,17.0378288395223,-1.08104600358069e-06,0.00144268885524979,0.618617503627274,0.99996562873245
RP11-345P4.9,13.0640833105982,-1.5558396249949e-06,0.00144268715772382,0.393532506251785,0.99996562873245
MIB2,57.6836163564828,-1.52813207275043e-07,0.00144268637675825,0.861758708841885,0.99996562873245
MMP23B,3.97013824750505,-2.04560638887789e-07,0.00144269246345113,0.900054229931117,0.99996562873245
CDK11B,33.3088565116344,-2.60649018116246e-06,0.0014426769406059,0.50330880761486,0.99996562873245
SLC35E2B,81.1109797173873,-6.9060580632727e-06,0.00144266828173228,0.222064511226213,0.99996562873245
