"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MIAT",0,-1.14880168298648,0.722,0.894,0
"MT-ND4",0,0.762078886507919,0.967,0.879,0
"MEG3",0,-1.01061831003223,0.982,0.982,0
"PCSK1N",5.30055261630141e-305,1.17928708027237,0.604,0.359,1.7859681985366e-300
"GOLGA8B",6.08489061013288e-254,-1.16479987222807,0.307,0.55,2.05024304217817e-249
"ACTB",2.71267479224746e-250,0.778212986827546,0.768,0.621,9.1400864449986e-246
"RP3-525N10.2",5.86467135162729e-242,-1.52693755840711,0.175,0.409,1.9760423652173e-237
"GAPDH",2.12267594549806e-234,0.869147219111578,0.677,0.494,7.15214433076115e-230
"BCYRN1",8.4037255605322e-208,-0.886301776760691,0.5,0.706,2.83155129036572e-203
"CCPG1",2.1232269342883e-203,-1.15601084152678,0.314,0.528,7.15400083239098e-199
"TRIM9",9.51400547856699e-192,-0.917662456517104,0.364,0.571,3.20564900594836e-187
"RP11-161M6.2",4.72974298234571e-186,-1.0092589171382,0.364,0.569,1.59363960047156e-181
"MALAT1",2.62421146012617e-183,0.34170861930412,0.999,0.999,8.84201809374911e-179
"TARBP1",1.05062406610833e-177,-1.38729925591008,0.156,0.347,3.5399727283454e-173
"H1FX",1.50774689421625e-177,1.5645474697336,0.294,0.126,5.08020238537225e-173
"WSB1",1.31354277234949e-173,-0.820800073228173,0.367,0.581,4.42585101715436e-169
"ALDOA",1.08197104603031e-170,1.0305340280397,0.513,0.339,3.64559324249453e-166
"POLR2J3",1.49094730588765e-169,-1.02085909451959,0.339,0.521,5.02359785245785e-165
"ESF1",1.26256723469793e-168,-0.994085405259889,0.303,0.505,4.2540940405912e-164
"MT-CYB",2.30042387869996e-163,0.533301586196358,0.932,0.831,7.75104821689165e-159
"GOLGA8A",3.67838173832921e-163,-1.078010381518,0.24,0.432,1.23939394291264e-158
"RPL34",2.53548844534282e-158,-0.943359318368832,0.352,0.536,8.5430747677381e-154
"SNCB",1.51543164704132e-136,0.737198006069288,0.607,0.457,5.10609539154102e-132
"VAMP2",2.56484067579168e-135,0.572124144219643,0.732,0.614,8.64197417301248e-131
"PCDH9",1.6374827480829e-133,-0.556711241265473,0.637,0.765,5.51733437139051e-129
"FAIM2",1.94299738184903e-129,0.555051909539303,0.734,0.6,6.54673537840213e-125
"GNAS",5.51830466461934e-128,0.697048279652073,0.661,0.538,1.85933757369684e-123
"ATP5D",2.64980799548345e-127,1.19113742661392,0.31,0.162,8.92826305998195e-123
"CALM2",7.4823437194781e-125,0.483575222828375,0.776,0.692,2.52110089284095e-120
"CES4A",4.60407139657952e-124,-1.04555924432966,0.189,0.351,1.5512958163635e-119
"CLU",4.18571738994256e-123,0.662837464323217,0.643,0.536,1.41033561736724e-118
"SYN1",3.75391510729149e-122,0.891857693289056,0.483,0.328,1.26484415625079e-117
"FBXW7",8.81540815419132e-119,-0.613705169314522,0.491,0.645,2.97026362347322e-114
"SLC25A37",1.70109134938356e-117,-0.903606662296,0.233,0.4,5.73165719261296e-113
"PABPN1",1.69681150116751e-116,-0.708280613267394,0.389,0.562,5.71723667203381e-112
"NTRK3",1.72232427786248e-116,-0.630759027047089,0.451,0.611,5.80319942182984e-112
"MIF",5.06180960869598e-114,1.21707429580271,0.226,0.1,1.70552612955402e-109
"IDS",2.8980582995948e-111,0.478637485532273,0.78,0.702,9.76471763465471e-107
"LY6H",5.98185912934548e-111,0.841215079583399,0.492,0.348,2.01552761504166e-106
"MT-ND3",7.56871529457043e-111,0.402298539891877,0.898,0.787,2.55020293135256e-106
"SAT2",2.99318540919008e-110,-0.878106642659257,0.239,0.398,1.00852389177251e-105
"RIMS2",9.05276275127537e-110,-0.610565568581191,0.482,0.637,3.05023788141472e-105
"GABPB1-AS1",1.40558823075198e-109,-0.970611969939258,0.173,0.325,4.73598898469574e-105
"NTM",8.27368633184686e-108,-0.619533119995339,0.424,0.592,2.78773587265248e-103
"NKTR",2.01525812112577e-107,-0.656990604529717,0.451,0.61,6.79021071332116e-103
"C1orf132",5.66535609279057e-104,-1.00997684993305,0.146,0.29,1.90888508190486e-99
"FKBP8",5.15821494625927e-103,0.787983413527273,0.469,0.328,1.7380089439926e-98
"HOMER1",6.32271075999276e-103,-0.909209561244061,0.194,0.343,2.13037416347196e-98
"LINC00632",7.14033572679614e-103,-0.76620301345095,0.366,0.517,2.40586471978669e-98
"TTC14",1.08711664356197e-101,-0.591237095199774,0.431,0.588,3.66293081881772e-97
"LMO4",1.95596555880838e-101,-0.614853658309876,0.425,0.574,6.59043035384896e-97
"PRDX2",3.13845427517499e-100,0.997167977000666,0.333,0.198,1.05747078347746e-95
"MT-CO3",1.39871894254466e-99,0.280021137809833,0.981,0.936,4.71284360500998e-95
"ZNF292",1.5338781809338e-99,-0.693327442662268,0.307,0.47,5.16824914283835e-95
"PART1",3.23207142907142e-99,-1.37308733610181,0.086,0.206,1.08901414731132e-94
"NCDN",2.21834304255332e-98,0.750939939193834,0.513,0.377,7.47448504757916e-94
"NRBP2",4.87109493395228e-97,-1.30591395108702,0.083,0.201,1.64126672704588e-92
"CABP1",8.01922484437486e-96,-0.552768239698483,0.513,0.656,2.70199761906366e-91
"SUGP2",4.24081450763109e-95,-0.60491141421205,0.399,0.551,1.42890004020122e-90
"MT-CO2",5.25164585594496e-95,0.300291712787451,0.972,0.912,1.7694895547021e-90
"SORL1",1.68850281972435e-94,-0.686314183061368,0.32,0.473,5.68924140077922e-90
"ARHGAP26",2.43481018190205e-93,-0.845552542752609,0.197,0.339,8.20384942690076e-89
"HSP90AB1",8.92229564414172e-93,0.48778930168824,0.717,0.64,3.00627829433711e-88
"ANKS1B",2.64725242204137e-92,-0.581828726692721,0.413,0.564,8.9196523108262e-88
"PPIA",5.46008102589079e-92,0.684611975892869,0.502,0.371,1.83971970086364e-87
"PPP2R1A",1.67275875960479e-91,0.817570418128143,0.421,0.289,5.63619336461239e-87
"DENND3",5.35425222842375e-89,-1.21527188345948,0.104,0.221,1.8040617458451e-84
"CACNG8",7.76544467909566e-87,-0.652680943756424,0.329,0.472,2.61648893017449e-82
"CAMKK2",9.16003137292765e-87,-0.77018586200313,0.219,0.358,3.08638097079424e-82
"PWAR6",1.0423595990806e-86,-0.436203230048533,0.576,0.715,3.51212643314219e-82
"CCDC88A",2.34160228825592e-86,-0.787226988277701,0.388,0.528,7.88979475004951e-82
"CACNA1A",3.04252163347552e-86,-0.60950345303467,0.344,0.497,1.02514723918324e-81
"CIRBP",1.55154433997693e-85,-0.585453941045633,0.28,0.436,5.22777349911826e-81
"SNHG23",1.64904768429107e-85,-0.982161205069888,0.151,0.278,5.55630126745032e-81
"RPS18",7.19788475467103e-85,-0.889618339819882,0.2,0.331,2.42525528923886e-80
"ONECUT2",1.14535254643093e-83,-1.3701193654078,0.076,0.18,3.85915086994439e-79
"MT-ND5",1.0811658903936e-81,0.586020789154342,0.579,0.448,3.6428803510922e-77
"UBB",2.42792594748073e-81,0.902906559487124,0.3,0.182,8.18065368744157e-77
"FAT3",7.46444651050478e-81,-0.766785368518983,0.203,0.336,2.51507060724948e-76
"CELF5",2.31201192536031e-80,-0.533362196547584,0.397,0.543,7.79009298130902e-76
"CFL1",4.22133638637544e-80,0.712191419157882,0.456,0.335,1.42233708202534e-75
"MT-ATP6",1.65862043605527e-79,0.1042078276923,0.918,0.796,5.58855569724461e-75
"FLRT2",5.20401464691478e-79,-0.70186434998571,0.281,0.416,1.75344069513147e-74
"RPL31",1.11244366807888e-78,-0.846092076199389,0.339,0.462,3.74826769522497e-74
"RSRP1",1.90232899133303e-78,-0.675924288136155,0.276,0.411,6.4097073033975e-74
"JUND",9.80535715660007e-78,0.753637611139908,0.454,0.337,3.30381704034483e-73
"PNISR",5.16593086272208e-77,-0.419178679922455,0.791,0.839,1.74060874488558e-72
"SYT7",2.70804025624714e-76,-0.626464403057429,0.292,0.428,9.12447083939913e-72
"PCSK7",8.54165077303093e-76,-0.669868449736708,0.24,0.375,2.87802381146504e-71
"SCN3B",1.53459264210389e-75,-0.581261143979616,0.327,0.466,5.17065644830486e-71
"C4orf48",1.66238288425151e-75,1.00224214197485,0.224,0.12,5.60123289019705e-71
"GRIN2A",3.56786940333749e-75,-0.516072153425627,0.368,0.509,1.20215791676053e-70
"AJ006998.2",4.95770000505425e-74,-1.36265999260451,0.063,0.155,1.67044743970298e-69
"PKM",2.55710930728629e-73,0.578857493603035,0.555,0.452,8.61592409997041e-69
"TUBB",2.76643034071295e-73,0.836313593261039,0.339,0.224,9.3212103899982e-69
"CLTB",5.15593287785229e-73,0.939132487639327,0.272,0.165,1.73724002386355e-68
"RPS25",6.36943883304922e-72,-0.740981974447137,0.261,0.387,2.14611872040761e-67
"RPL26",8.98839695371656e-72,-1.00475866467075,0.139,0.25,3.02855046958526e-67
"BSG",1.37805907540743e-71,0.733820230104164,0.422,0.308,4.6432322486778e-67
"RBM25",5.04528469463802e-70,-0.459339682328335,0.453,0.583,1.69995822501133e-65
"NFASC",8.5548782327321e-70,-0.603290761023516,0.289,0.419,2.88248067173675e-65
"MLIP",8.7235835472513e-70,-1.5889661219986,0.044,0.124,2.93932424041085e-65
"NAGPA",7.57126920166442e-69,-0.778177042144905,0.184,0.301,2.55106344480881e-64
"MT-CO1",7.76053921009267e-69,0.321038083285406,0.979,0.951,2.61483608144862e-64
"ABCA5",1.30307087121902e-68,-0.494779301648888,0.34,0.48,4.39056699348538e-64
"SFPQ",2.11490147889879e-68,-0.545836015109285,0.316,0.448,7.12594904300158e-64
"CHCHD10",2.4516898384096e-68,0.877441449689802,0.278,0.171,8.26072374153732e-64
"KCNH3",3.63240967960104e-68,-0.700575109961867,0.239,0.364,1.22390411744478e-63
"MTRNR2L12",5.60950415224386e-68,-1.25810164436829,0.062,0.15,1.89006632905705e-63
"TACC1",2.053438665435e-67,-0.576143284458353,0.301,0.43,6.91885623931669e-63
"HSPB1",4.05381126854902e-67,1.08086466655664,0.197,0.105,1.36589116882491e-62
"MT-ND2",5.59849229230864e-67,0.39443850696626,0.874,0.796,1.88635599297047e-62
"LENG8",1.49340252901355e-66,-0.586302360527541,0.267,0.397,5.03187048125826e-62
"GRIA2",1.96039913664928e-66,-0.313038727166465,0.782,0.85,6.60536885102609e-62
"TNR",6.45775669783303e-66,-1.0464181028192,0.086,0.18,2.17587654176786e-61
"VWA5B2",9.56593360982821e-66,-0.92159585710454,0.102,0.201,3.22314567049552e-61
"GPM6B",1.0031856987206e-65,-0.564831271483297,0.351,0.476,3.38013389326919e-61
"PIK3C3",2.02349491066134e-65,-0.941269665203192,0.112,0.213,6.81796375198232e-61
"MGEA5",3.34444195669925e-65,-0.498338010837453,0.371,0.501,1.12687627289025e-60
"RPL32",4.91344255359339e-65,-0.704968035685551,0.294,0.411,1.65553533400776e-60
"STRBP",5.03560151854064e-65,-0.615463157541268,0.242,0.366,1.69669557565708e-60
"ACTN1",6.14752232957108e-65,-0.59700178959239,0.29,0.413,2.07134617372568e-60
"RPS6",1.198473549515e-64,-0.909991351828592,0.13,0.233,4.03813677773583e-60
"COG1",2.53707074617054e-64,-0.889723023003646,0.121,0.223,8.54840617214703e-60
"ZMAT1",2.69709175505289e-64,-0.918390283975353,0.101,0.199,9.08758095947519e-60
"DLGAP1-AS4",3.69600369563091e-64,-1.44722823231222,0.046,0.122,1.24533148520588e-59
"LINC00685",1.76341040260209e-63,-0.859674507887289,0.129,0.233,5.94163501052748e-59
"RPL10A",2.30163348397367e-63,-1.06532602785904,0.096,0.189,7.75512386090089e-59
"RPL6",7.88159711173134e-63,-0.841253636527808,0.167,0.275,2.65562533082676e-58
"LINC00473",1.81038861131475e-62,-2.14266327040275,0.014,0.069,6.09992338696392e-58
"SUN1",2.29478320235726e-62,-0.694749252215448,0.185,0.299,7.73204252202254e-58
"RPL7",2.54145610375282e-62,-0.862141508176217,0.171,0.277,8.56318219598475e-58
"RPL36A",2.81339028784437e-62,-1.04932778964922,0.109,0.203,9.47943723586281e-58
"AC004951.6",5.26407209885752e-62,-0.833145940884875,0.091,0.185,1.77367645298905e-57
"MTR",5.39441002445621e-62,-1.12327708625663,0.081,0.17,1.81759251364027e-57
"VGF",5.73889349793989e-62,-1.26194579548482,0.063,0.144,1.93366277519587e-57
"CFAP46",6.46408756763052e-62,-1.36557906761996,0.047,0.123,2.17800966503743e-57
"EML6",6.66366974012629e-62,-1.09175665711428,0.075,0.161,2.24525688223815e-57
"GATAD1",1.26262402472207e-61,-1.04352559144674,0.089,0.18,4.25428538889855e-57
"KCNMA1",1.35953502416577e-61,-0.535417335277225,0.314,0.435,4.58081731042416e-57
"RBFOX2",1.58421646631779e-61,-0.504749379499387,0.307,0.434,5.33785896161115e-57
"KCNIP4-IT1",1.5869433852287e-61,-0.861738980994197,0.258,0.361,5.34704704218959e-57
"PRNP",3.22743295457586e-61,0.379473589667191,0.714,0.644,1.08745125971479e-56
"KCNB1",3.306715340025e-61,-0.604890349950767,0.273,0.391,1.11416466666802e-56
"RPS20",4.63963222949177e-61,-0.908508653852947,0.138,0.239,1.56327768340496e-56
"RPL9",1.23145651783443e-60,-0.743792594275546,0.164,0.273,4.14926959119133e-56
"MT-ND1",3.9932736860075e-60,0.255034860016096,0.885,0.794,1.34549363576337e-55
"KIAA2026",4.84931587548205e-60,-0.762418418123685,0.151,0.257,1.63392849108492e-55
"SON",5.08619914084546e-60,-0.436831232485711,0.481,0.596,1.71374393851647e-55
"RPS7",5.8499633174739e-60,-0.89701133779368,0.14,0.239,1.97108664018966e-55
"CORO6",7.32124050180524e-60,-0.503799804691095,0.3,0.429,2.46681877467826e-55
"SLC25A29",9.07336680064203e-60,-0.725780043041242,0.145,0.25,3.05718020980833e-55
"ADAM17",1.59334746827213e-59,-0.882327715337524,0.11,0.204,5.36862495959612e-55
"HGSNAT",1.61557013290326e-59,-1.03494876431928,0.072,0.156,5.44350200580424e-55
"AAK1",1.76491312567028e-59,-0.42253196288852,0.491,0.604,5.94669828563343e-55
"GOLGA4",1.94586082050985e-59,-0.802324165110009,0.214,0.325,6.55638344862589e-55
"NOXA1",4.47165003799777e-59,-0.911364096437567,0.121,0.217,1.50667776380297e-54
"SORBS2",4.59565341868352e-59,-0.602039168159037,0.275,0.392,1.54845946289123e-54
"POU2F2",4.95687234721347e-59,-1.03190052348931,0.079,0.164,1.67016856867011e-54
"PTMA",6.39511802358925e-59,0.615715161227465,0.513,0.425,2.15477106686816e-54
"MAST4",1.64502642972734e-58,-0.645553367003778,0.183,0.293,5.54275205232331e-54
"FAM153B",1.65712669089046e-58,-0.724363873181646,0.22,0.329,5.5835226722863e-54
"HIC2",1.86427355208626e-58,-1.03344183725201,0.07,0.152,6.28148330639945e-54
"SCPEP1",2.1456315509726e-58,-0.90667579180589,0.128,0.224,7.22949094784707e-54
"TRIM33",2.18749316930551e-58,-0.531530657766818,0.242,0.362,7.37053948465799e-54
"PNN",2.75812538153326e-58,-0.816613825727552,0.142,0.243,9.29322766053818e-54
"ZFYVE28",3.67654117451129e-58,-0.893636078781527,0.115,0.21,1.23877378333983e-53
"LAMB1",4.46135872352517e-58,-1.23828583673704,0.059,0.135,1.50321020830457e-53
"N4BP2L2",1.41551146619266e-57,-0.365270153877642,0.603,0.711,4.76942433418954e-53
"CAMK2A",1.54037615864615e-57,-0.3204635314162,0.651,0.757,5.19014342894235e-53
"CREG2",2.66187654504055e-57,-0.524981122866413,0.359,0.473,8.96892683085963e-53
"KALRN",2.71599397148342e-57,-0.459572668639299,0.392,0.513,9.15127008751624e-53
"MLH3",5.06880292668146e-57,-0.770735710233648,0.131,0.23,1.70788245811605e-52
"DANT2",1.44027638235866e-56,-1.02962947693809,0.065,0.143,4.85286724271926e-52
"SPG7",1.47522083186644e-56,-0.622542176228679,0.198,0.307,4.97060907089079e-52
"RPS15A",2.00052015837868e-56,-1.01603596109361,0.089,0.175,6.74055262164113e-52
"APLP1",2.22305077750187e-56,0.568397622789579,0.462,0.364,7.49034728971481e-52
"SNTG1",2.71122394763654e-56,-0.759823339846821,0.196,0.301,9.13519796916656e-52
"RP11-138A9.1",3.02811591584279e-56,-0.88814479786589,0.115,0.207,1.02029337668407e-51
"KMT2A",3.15598793692539e-56,-0.409576013117113,0.443,0.563,1.06337857546764e-51
"BOD1L1",3.17810551149752e-56,-0.688430642105941,0.196,0.306,1.07083087104397e-51
"YWHAG",3.20244621625388e-56,0.486510720825652,0.579,0.494,1.07903222810458e-51
"FLCN",4.13531829390685e-56,-0.68607738030537,0.188,0.294,1.39335414594898e-51
"TNRC6C",8.95427261994708e-56,-0.480843167418692,0.303,0.423,3.01705261656497e-51
"MYCBP2",1.72260421810034e-55,-0.41446332195751,0.467,0.584,5.80414265246729e-51
"NEIL1",1.84014802431632e-55,-0.750812865763687,0.128,0.224,6.20019475313141e-51
"CCNL2",2.18785683826128e-55,-0.65034630775916,0.193,0.299,7.37176483083754e-51
"SRGAP3",3.26397458626167e-55,-0.520918405325461,0.345,0.458,1.09976359709501e-50
"PEG3",3.78590472986381e-55,0.651481093502079,0.541,0.46,1.27562273968031e-50
"TSC1",4.01147194613826e-55,-0.852070255032784,0.104,0.193,1.35162535753182e-50
"UNC80",4.63643371964414e-55,-0.48881611408347,0.346,0.462,1.56219997749689e-50
"UNC13A",6.26891079901741e-55,-0.561850434002511,0.225,0.337,2.11224680462093e-50
"PCM1",9.80824935440154e-55,-0.53830697523752,0.311,0.426,3.30479153747206e-50
"RPS26",1.55231090748918e-54,-0.909779040418885,0.12,0.211,5.23035637169404e-50
"NPIPA1",2.84938612895444e-54,-0.722816994309868,0.242,0.346,9.6007216228991e-50
"MACF1",5.57624836907621e-54,-0.647979439614592,0.292,0.401,1.87886112547654e-49
"RALGDS",6.01051377066703e-54,-0.672060000815062,0.167,0.269,2.02518250988855e-49
"NECAB1",6.53626553357237e-54,-0.409050635413074,0.447,0.569,2.20232930888188e-49
"PVRL3",7.20598893599517e-54,-0.923045634676955,0.092,0.176,2.42798591209421e-49
"KIAA1549L",1.0162830637904e-53,-0.505949514104449,0.255,0.37,3.42426415513536e-49
"PEBP1",1.26395963539522e-53,0.41439807132401,0.622,0.547,4.25878559550064e-49
"U2SURP",1.71107563596424e-53,-0.538792321558498,0.29,0.404,5.76529824781792e-49
"CTTN",2.99104875113571e-53,-0.641194394716601,0.216,0.321,1.00780396620767e-48
"MDM4",7.06684982091939e-53,-0.651958052078097,0.193,0.297,2.38110437866058e-48
"RP11-219A15.1",1.25985499543648e-52,-0.617421529798372,0.219,0.325,4.24495542162368e-48
"CATSPER2",1.39015522475394e-52,-0.564981920935923,0.211,0.32,4.68398901428594e-48
"NAP1L3",1.39342266119445e-52,0.802850942621567,0.317,0.224,4.69499831462859e-48
"TRANK1",2.56715963976975e-52,-0.812413386936269,0.093,0.177,8.6497876902402e-48
"ARHGAP21",8.75156900175615e-52,-0.601171962450867,0.297,0.403,2.94875365945172e-47
"ST8SIA5",9.61034340708861e-52,-0.726850030788946,0.109,0.197,3.23810910758443e-47
"YWHAE",1.26306900070158e-51,0.631751326525218,0.388,0.292,4.2557846909639e-47
"ARL2",1.57741499217642e-51,1.08539055877453,0.167,0.093,5.31494207463922e-47
"RPS8",1.71283004471784e-51,-0.606574430702667,0.216,0.321,5.77120955267229e-47
"RPS12",1.74753990434555e-51,-1.42483725085689,0.039,0.101,5.88816095370189e-47
"LINC01252",2.34222761880761e-51,-0.94630976467715,0.089,0.17,7.89190173881038e-47
"SLC25A27",2.76010120640451e-51,-1.23423173033577,0.042,0.106,9.29988500485935e-47
"SCAI",3.01853431311595e-51,-0.66141481136532,0.187,0.287,1.01706495146129e-46
"PRDM2",3.54540319948732e-51,-0.672635256676124,0.192,0.293,1.19458815403526e-46
"ATP1A3",4.97147359394214e-51,0.615748187916221,0.362,0.262,1.67508831274286e-46
"STXBP5-AS1",5.89143281753549e-51,-0.887786099850949,0.096,0.179,1.98505937354041e-46
"RSBN1L",1.2548739989663e-50,-0.691184543942533,0.158,0.254,4.22817245211705e-46
"PTK2",1.27610327204369e-50,-0.638272775790575,0.196,0.297,4.29970236482402e-46
"RAPGEFL1",1.96675310720484e-50,-0.599558233345814,0.17,0.27,6.62677791941597e-46
"SYTL2",2.41286852751781e-50,-0.747678849592776,0.142,0.235,8.1299192166185e-46
"FRMD4A",3.09489555290992e-50,-0.597507545812945,0.19,0.292,1.04279410759747e-45
"LINC00599",4.14932312125807e-50,-0.308113454897164,0.501,0.621,1.3980729324767e-45
"KCNQ1OT1",4.52659587728949e-50,-0.657538384448918,0.269,0.374,1.52519121489392e-45
"YWHAH",4.93662456331024e-50,0.490882941772213,0.547,0.474,1.66334628036175e-45
"MYO6",7.00005052128506e-50,-0.748799973989913,0.141,0.234,2.35859702264179e-45
"HRH2",1.16745304999346e-49,-1.06131218198845,0.08,0.155,3.93361630664796e-45
"CIT",1.30946095396502e-49,-0.411404731171746,0.358,0.475,4.41209773828974e-45
"MAPRE3",1.46896882076917e-49,0.769415460992573,0.306,0.216,4.94954354469964e-45
"TESPA1",2.02748529592707e-49,-0.574652191859123,0.268,0.373,6.83140895609668e-45
"ARGLU1",2.22080965150466e-49,-0.436735702128667,0.439,0.54,7.48279603977979e-45
"NEUROD6",2.83597543830724e-49,-1.08903294713242,0.049,0.115,9.55553564183241e-45
"SFXN5",2.98533110947222e-49,-0.749109934523957,0.12,0.208,1.00587746402557e-44
"ZKSCAN1",3.93636498614745e-49,-0.654851999789859,0.181,0.279,1.32631881843252e-44
"PDZD2",4.58481990071396e-49,-0.963393320547305,0.103,0.183,1.54480921734656e-44
"PHYHIP",5.02873082209826e-49,0.483244149357849,0.632,0.572,1.69438056319779e-44
"AC016831.7",7.37730011488332e-49,1.45937720834593,0.078,0.029,2.48570750070879e-44
"ABI2",7.62522058897859e-49,-0.429974473240132,0.322,0.436,2.56924182525045e-44
"DCAF5",9.06909413320698e-49,-0.898037027390934,0.08,0.157,3.05574057724276e-44
"CADPS",9.31651088712114e-49,-0.434246617818134,0.359,0.473,3.1391051783066e-44
"DOCK4",1.45559158149125e-48,-0.713167122949666,0.128,0.217,4.90447027467662e-44
"MT-ND4L",1.51525481496416e-48,0.701246901258944,0.349,0.256,5.10549957354024e-44
"TRIM56",2.21795626092044e-48,2.53071147744508,0.036,0.006,7.47318182554533e-44
"CKMT1B",2.25197598529182e-48,-0.656845686463896,0.191,0.289,7.58780788484226e-44
"FUS",2.77878444025814e-48,-0.418567815768574,0.311,0.427,9.36283629300579e-44
"MTRNR2L1",3.11936619189606e-48,6.18381086544103,0.021,0.001,1.05103924469746e-43
"HSPA1A",4.98564651745186e-48,1.21250959551068,0.126,0.063,1.67986373759023e-43
"CAMK1D",1.10847821519816e-47,-0.463868254442751,0.292,0.401,3.73490649828867e-43
"LINC01106",1.22847224188191e-47,-0.629706343723421,0.218,0.317,4.13921437179691e-43
"MEIS3",2.50809010740272e-47,-0.693400428702904,0.103,0.186,8.45075880788273e-43
"RASAL2",2.58872838840575e-47,-0.442363288551899,0.314,0.424,8.72246143189434e-43
"LRRC2",3.08623764542434e-47,-1.21702498596628,0.05,0.114,1.03987691224928e-42
"ANKRD12",3.65066644066102e-47,-0.416074246561037,0.34,0.454,1.23005555051633e-42
"ELP2",4.15604963601906e-47,-0.619655299916194,0.169,0.264,1.40033936436026e-42
"HPCA",9.35545283391249e-47,0.823773117645777,0.263,0.179,3.15222627785847e-42
"ADCYAP1",2.44605630441016e-46,-1.31853119817063,0.046,0.108,8.24174211207959e-42
"GPC1",2.60922582418813e-46,-0.42569814435699,0.311,0.424,8.79152549201949e-42
"PHACTR1",5.16579053463039e-46,-0.590519528766612,0.177,0.271,1.74056146273836e-41
"ZSCAN18",1.22449852035888e-45,-0.682545804765772,0.146,0.234,4.12582531449721e-41
"SPON2",1.57942358190243e-45,-2.01414020990475,0.012,0.055,5.32170981686205e-41
