"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","SRP-dependent cotranslational protein targeting to membrane (GO:0006614)","63/90",1.13028051142478e-25,5.883110061966e-22,0,0,9.98285613290916,573.436834045474,"SRP19;RPL30;RPL3;RPL32;RPL31;RPL34;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;SEC61A2;RPL7A;RPS14;SEC61A1;RPS17;RPS19;RPS18;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS13;RPS12;SEC63;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;RPSA;SRP9;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23"
"2","cotranslational protein targeting to membrane (GO:0006613)","64/94",5.40931003316115e-25,1.40777293613019e-21,0,0,9.12790594890834,510.035489473184,"SRP19;RPL30;RPL3;ARL6IP1;RPL32;RPL31;RPL34;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;SEC61A1;RPS17;RPS19;RPS18;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS13;RPS12;SEC63;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;RPSA;SRP9;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;SSR1;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23"
"3","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)","69/113",1.10740265868736e-22,1.92134361282258e-19,0,0,6.71286752281176,339.368042367856,"RPL30;SMG1;RPL3;RPL32;RPL31;RPL34;PPP2R2A;CASC3;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS19;PPP2R1A;RPS18;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS13;RPS12;UPF2;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;DHX34;RPL14;RPS3;RPS27A;RPL17;RPL19;RPL41;UPF3B;RPL35A;UPF3A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPL27A;RNPS1;RPS20;EIF3E;DCP1A;RPS21;RPS24;RPS23"
"4","protein targeting to ER (GO:0045047)","64/103",1.00362383569435e-21,1.30596551619728e-18,0,0,7.01754958556868,339.303221886804,"SRP19;RPL30;RPL3;RPL32;RPL31;RPL34;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;SEC61A1;RPS17;RPS19;RPS18;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS13;RPS12;SEC63;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPSA;RPS3A;SRP9;RPL37A;RPL24;CHMP4A;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPS27A;RPL17;RPL19;RPL41;EDEM1;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23"
"5","gene expression (GO:0010467)","142/356",6.04209331880543e-20,6.28981914487645e-17,0,0,2.86604614438531,126.831000542797,"RPL30;RPL3;RPL32;RPL31;RPL34;CASC3;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS14;RPS17;RPS19;RPS18;RPL35;RPL38;RPL37;RPL39;RPS13;AGFG1;RPS12;DDX17;NUP210;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;THOC1;RPSA;THOC2;THOC5;CDC40;MRPS18C;NUP93;EEF1A1;DDX39B;ZC3H11A;DNAJB11;EEF1A2;SRSF2;RPL24;RPL27;SRSF4;NUP98;RPL26;SRSF5;SRSF7;POM121;BAZ2A;RPS4Y1;NUP160;POM121C;NUP85;TPR;SYMPK;TSPAN5;TASP1;CPSF4;RPL41;MRPL28;UPF3B;MRPL23;HARS2;RPS26;SETX;RPS25;PPP5C;RPS28;RPS27;COPS5;FUBP3;RPL27A;AGO2;MMS19;RNPS1;RPS20;RPS21;RPS24;RPS23;HBS1L;SMG1;THRB;CELF2;MRPL36;MRPL32;RBM3;RPS4X;MRPL42;RBM4;RPL7A;RPLP2;RBM5;RBM6;UPF2;NUP133;TESC;RPL13A;RPS3A;MRPS7;MRPS5;TOPORS;MRPL44;MRPL51;HNRNPH1;NUP50;RPL37A;RBMS1;MRRF;PTMA;RPL10;DDX25;RPL12;RPL36A;NOL9;U2AF1;LMF2;LMF1;U2AF1L4;RPS15A;PABPN1;POLR2D;RPL14;RPS3;POLR2E;RPS27A;RPL17;RPL19;RANBP2;RBM39;GALNT2;RPL35A;RPL23A;SORL1;TSPAN14;POLR3A;NOVA1;HNRNPA2B1;RPS6KB2;STUB1"
"6","cytoplasmic translation (GO:0002181)","57/93",4.308233234256e-19,3.73739233071708e-16,0,0,6.75955090877007,285.851869321802,"EIF4A2;RPL30;RPL3;RPL32;RPL31;RPL34;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPS19;RPS18;RPL35;RPL38;RPL37;RPL39;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS15A;RPL14;RPS3;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23"
"7","peptide biosynthetic process (GO:0043043)","77/162",2.34711015127763e-16,1.74524404820001e-13,0,0,3.87615440002504,139.495729229452,"HBS1L;PCSK1;RPL30;RPL3;RPL32;RPL31;RPL34;MRPL36;RPL10A;RPL9;RPL6;MRPL32;RPL7;RPS15;RPS4X;RPS14;MRPL42;RPL7A;RPS17;RPS19;RPS18;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPSA;RPS3A;MRPS7;MRPS5;MRPS18C;EEF1A1;MRPL51;EEF1A2;RPL37A;RPL24;RPL27;RPL26;MRRF;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPS27A;RPL17;RPL19;GGT7;RPL41;MRPL28;RPL35A;RPL23A;MRPL23;HARS2;RPS26;RPS25;RPS28;COPS5;RPS27;RPL27A;AGO2;RPS6KB2;RPS20;RPS21;RPS24;RPS23"
"8","nuclear-transcribed mRNA catabolic process (GO:0000956)","77/171",9.60938017490813e-15,6.25210297629961e-12,0,0,3.5030714617327,113.0652629633,"RPL30;SMG1;RPL3;RPL32;RPL31;RPL34;PPP2R2A;CASC3;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS19;PPP2R1A;RPS18;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS13;RPS12;UPF2;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPSA;RPS3A;THRAP3;MRTO4;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;EXOSC10;RPS15A;DHX34;POLR2D;RPL14;RPS3;RPS27A;RPL17;RPL19;RPL41;UPF3B;RPL35A;SAMD4B;CNOT10;UPF3A;RPL23A;RPS26;RPS25;RPS28;RPS27;AGO1;RPL27A;ATM;RNPS1;RPS20;EIF3E;DCP1A;RPS21;RPS24;RPS23"
"9","ncRNA processing (GO:0034470)","85/201",3.47459099862165e-14,2.00947179420285e-11,0,0,3.13601149425287,97.1872369751221,"RPL30;RPL3;RPL32;RPL31;RPL34;INTS10;RPL10A;RPL9;WDR46;RPL6;WDR43;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS19;RPL35;RPLP2;DGCR8;RPL38;RPL37;RPL39;UTP14A;UTP15;RPL21;RPS7;DIS3;RPL23;METTL3;RPL22;RPS6;DDX10;WDR75;RPL13A;DICER1;MRPL44;MRTO4;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;HEATR1;RPL36A;SNU13;NOL9;NOL6;RRP7A;EXOSC10;RPL14;RPL17;EXOSC1;MDN1;RPL19;SMAD2;NOP56;SMAD1;RPL41;NOP58;SMAD3;INTS1;UTP4;KRR1;INTS3;ADAT1;RPL35A;RPL23A;WDR55;RPS25;RPS28;RPS27;AGO3;LAS1L;AGO4;AGO1;RPL27A;AGO2;HNRNPA2B1;ESF1;INTS6;INTS8;RPS24;MPHOSPH6"
"10","rRNA processing (GO:0006364)","72/173",7.75499763197264e-12,4.03647626744176e-09,0,0,3.04320073251014,77.8532415461252,"RPL30;RPL3;RPL32;RPL31;RPL34;THUMPD1;RPL10A;RPL9;WDR46;RPL6;WDR43;RPL7;RPS15;RPS14;RPL7A;RPS17;MRPL1;RPS19;RPL35;RPLP2;RPL38;RPL37;RPL39;UTP14A;RRP15;UTP15;RPL21;RPS7;DIS3;RPL23;RPL22;RPS6;DDX10;WDR75;RPL13A;MRTO4;RPL37A;NHP2;RPL24;RPL27;RPL26;RPL10;RPL12;HEATR1;TSR3;RPL36A;SNU13;NOL9;NOL6;RRP7A;EXOSC10;RPL14;RPL17;MDN1;EXOSC1;RPL19;NOP56;RPL41;NOP58;UTP4;KRR1;RPL35A;RPL23A;WDR55;RPS25;RPS28;RPS27;LAS1L;RPL27A;ESF1;RPS24;MPHOSPH6"
