"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MEG3",2.28052939591171e-167,-0.909275494914317,0.993,0.99,7.68401574658491e-163
"MIAT",6.36870584281182e-60,-0.887778911190872,0.705,0.847,2.14587174667702e-55
"PCSK1N",8.9634704000585e-43,0.985332271729726,0.533,0.32,3.02015171659571e-38
"MT-ND4",3.40997284551564e-37,0.41478357981474,0.967,0.898,1.14895625056804e-32
"BCYRN1",8.86498070586467e-37,-0.789172915489976,0.545,0.707,2.98696659903404e-32
"WSB1",1.59378045737105e-36,-0.791642790056071,0.452,0.63,5.37008387306603e-32
"RPL34",5.97847708450385e-34,-0.906577538730687,0.415,0.574,2.01438806885273e-29
"RPL31",4.44527848604326e-32,-1.28116376533649,0.337,0.497,1.49779213308742e-27
"CCDC88A",5.83109153002649e-32,-1.15954284884677,0.423,0.571,1.96472798012713e-27
"ACTB",1.2465704722139e-31,0.506065520627679,0.755,0.607,4.20019454907751e-27
"H1FX",1.74114336904788e-31,1.29652730552074,0.286,0.134,5.86660846766991e-27
"RPS25",2.0248491795593e-31,-1.0824703958133,0.263,0.429,6.82252682560711e-27
"ESF1",3.91297641086013e-31,-0.913615269060629,0.335,0.504,1.31843827187521e-26
"MALAT1",1.54270643323427e-29,0.220142377207933,1,0.999,5.19799505613954e-25
"CALM2",3.72786288790087e-29,0.446898680653933,0.827,0.697,1.25606612144932e-24
"CLU",7.2403920916432e-29,0.605644966108305,0.689,0.561,2.43957771135826e-24
"XIST",7.91516827301876e-29,0.5400019934926,0.574,0.364,2.66693679791094e-24
"IDS",1.39106256331287e-27,0.428454593084393,0.833,0.727,4.6870462008264e-23
"ATP5D",2.4941334389911e-26,1.18319705013207,0.301,0.159,8.40373320933662e-22
"TRIM9",2.74465501089175e-26,-0.800621721775705,0.336,0.496,9.24784059369866e-22
"VAMP2",2.8629378992872e-25,0.463920218133741,0.732,0.606,9.64638295785829e-21
"GAPDH",7.36844973186978e-25,0.583817988080418,0.654,0.511,2.4827254526562e-20
"CCPG1",6.24934786195814e-24,-1.02905917116041,0.325,0.462,2.10565526860818e-19
"MT-CYB",2.27272366347665e-22,0.369120229103292,0.926,0.839,7.65771511171821e-18
"RPL26",8.86910138463157e-22,-1.11164039363912,0.134,0.262,2.98835502053776e-17
"NKTR",1.41678637021305e-21,-0.716848771808086,0.423,0.549,4.77371999579586e-17
"CACNG8",1.46366880085081e-21,-0.753854990372623,0.342,0.487,4.93168565758671e-17
"TTC14",5.22422109964321e-21,-0.602290812923462,0.426,0.567,1.76024905731378e-16
"GOLGA8A",5.36246321343024e-21,-0.834587392413087,0.238,0.376,1.80682835513319e-16
"FAIM2",6.97594641428408e-21,0.416102081743773,0.764,0.656,2.35047538482888e-16
"ZNF493",8.69459747980184e-21,-1.14911209989114,0.128,0.249,2.92955767484443e-16
"GOLGA8B",1.08042987375988e-20,-0.761756277050879,0.322,0.46,3.64040041664653e-16
"RPL36A",3.09196695169069e-20,-1.31877838231512,0.123,0.24,1.04180734470266e-15
"RPL7",6.34542681012079e-20,-1.10470726365376,0.165,0.287,2.1380281094021e-15
"RPS18",7.48723586393945e-20,-0.940585790806574,0.233,0.357,2.52274925199576e-15
"TARBP1",1.74382542572382e-19,-1.03974810316478,0.154,0.275,5.87564538943384e-15
"POLR2J3",4.88599581215269e-19,-0.822868523969622,0.329,0.443,1.64628742894673e-14
"FBXW7",7.02963404931076e-19,-0.574333304923873,0.528,0.63,2.36856489657477e-14
"RPL32",8.03063555610482e-19,-0.744667582553557,0.32,0.446,2.70584234427396e-14
"PPIA",1.82061202616424e-18,0.557755142941641,0.535,0.402,6.13437016095778e-14
"RIMS2",2.83568088438114e-18,-0.524731170229517,0.483,0.605,9.5545431718338e-14
"MT-ND5",4.43193316465524e-18,0.412308855810651,0.628,0.48,1.49329556049894e-13
"SNCB",5.29670403966759e-18,0.545037564532425,0.562,0.431,1.7846714591256e-13
"STRBP",7.51854935463543e-18,-0.766548819315433,0.268,0.394,2.53330001955086e-13
"PCDH9",1.24292803563706e-17,-0.426324288734825,0.727,0.797,4.18792172327551e-13
"RPL6",1.6487877032494e-17,-0.941941446076205,0.187,0.301,5.55542528732853e-13
"NAP1L3",2.48224987885211e-17,0.669961832285037,0.432,0.313,8.36369274180431e-13
"PHYHIP",3.56081260543676e-17,0.514122637481837,0.63,0.508,1.19978019927586e-12
"CATSPER2",4.84614790542819e-17,-0.856047426469242,0.167,0.285,1.63286107525497e-12
"MT-CO1",5.59019076623991e-17,0.306257666242332,0.975,0.953,1.88355887677688e-12
"MT-CO3",6.10217644863826e-17,0.184501055753183,0.981,0.939,2.05606733260418e-12
"RPL9",1.09945330466621e-16,-0.873413186993227,0.189,0.304,3.70449796474232e-12
"SORL1",1.39740785079816e-16,-0.585555950944696,0.374,0.498,4.70842601247931e-12
"HSP90AB1",2.27675954628948e-16,0.349690343842634,0.782,0.692,7.67131361526777e-12
"FKBP8",4.10045428783685e-16,0.596081762298643,0.49,0.369,1.38160706774375e-11
"ALDOA",5.50493256009515e-16,0.628222685208518,0.488,0.373,1.85483197679846e-11
"MTRNR2L1",1.14516475229951e-15,5.61102689111775,0.031,0,3.85851811639795e-11
"CACNA1A",1.33002245778876e-15,-0.703752800792864,0.346,0.458,4.48137766927345e-11
"RPS6",2.09723201087317e-15,-0.9619872624524,0.132,0.233,7.06641353743606e-11
"PPP2R1A",2.54317733796145e-15,0.574473874750727,0.484,0.363,8.56898172252732e-11
"PRNP",3.94194685275484e-15,0.357909459298627,0.766,0.675,1.32819957256721e-10
"RPL38",5.31627842627108e-15,-0.975101713514386,0.256,0.359,1.79126685294778e-10
"MIF",6.30459137108563e-15,1.02624164359875,0.191,0.102,2.12426901657359e-10
"RPS27A",7.34299420276833e-15,-0.8340880471095,0.154,0.262,2.47414846668076e-10
"AC016831.7",7.61940856140375e-15,1.85667138014249,0.078,0.023,2.56728352067938e-10
"YPEL3",8.34103259640009e-15,0.618047194529207,0.445,0.329,2.81042752303104e-10
"PKM",8.81476613854148e-15,0.487110033911295,0.562,0.447,2.97004730272017e-10
"MEF2C",1.00858100693577e-14,0.34734644045995,0.796,0.711,3.3983128447694e-10
"PEG3",1.14835111665891e-14,0.434004623619774,0.673,0.578,3.86925425247053e-10
"RP3-525N10.2",1.46045165626296e-14,-0.890047362773673,0.172,0.273,4.92084581061242e-10
"PRKAR1B",1.526108225777e-14,0.496991424687187,0.559,0.446,5.14206905593302e-10
"CALM3",1.7462239160209e-14,0.372521214426331,0.66,0.557,5.88372686264083e-10
"COL24A1",1.80128335906338e-14,-1.82516590567153,0.025,0.086,6.06924415002815e-10
"RPS12",2.35877100819718e-14,-1.38265783778872,0.061,0.138,7.94764303501957e-10
"ZNF292",2.40990930852693e-14,-0.642422822879847,0.304,0.422,8.11994842415065e-10
"C1orf115",2.44873925966483e-14,0.822970864616382,0.266,0.167,8.25078206151467e-10
"USP9Y",2.4951503115452e-14,-1.3427744041749,0.04,0.109,8.4071594597204e-10
"MT-CO2",2.85306390545587e-14,0.172579321893416,0.983,0.921,9.61311352304301e-10
"RPL35A",7.16301286744136e-14,-0.704757120751939,0.231,0.338,2.41350555555569e-09
"RPS27",7.50811245028951e-14,-0.620177859956351,0.459,0.537,2.52978340900055e-09
"PTMA",7.60348429387762e-14,0.448989898385152,0.566,0.459,2.56191799797912e-09
"PRDX2",9.13866455161262e-14,0.758213910584176,0.3,0.198,3.07918163402035e-09
"RPL39",1.09668471520516e-13,-0.905536061944078,0.135,0.231,3.69516947941227e-09
"ARGLU1",1.19537266906876e-13,-0.515560646249434,0.424,0.525,4.02768867116027e-09
"JUND",1.52357132372801e-13,0.495561724210212,0.52,0.397,5.13352121816915e-09
"RPL37A",1.55010635191937e-13,-0.844948695593592,0.299,0.395,5.22292834215711e-09
"RPL10",1.55081800212176e-13,-0.714551818306885,0.251,0.353,5.22532617634905e-09
"YWHAG",2.07853085978752e-13,0.361214295118252,0.619,0.51,7.00340187896808e-09
"RPL12",3.15277476024222e-13,-0.893746649356072,0.126,0.219,1.06229592771601e-08
"STMN4",5.07109386258424e-13,0.663051091966405,0.38,0.277,1.70865436605913e-08
"MPHOSPH8",5.17636551180537e-13,0.350441910154568,0.802,0.735,1.7441245955477e-08
"RPL14",5.37266933645988e-13,-0.670618139449657,0.242,0.346,1.81026720622679e-08
"ATRX",7.69435878633269e-13,-0.477165885773792,0.471,0.584,2.59253724946694e-08
"PEBP1",8.13249561413196e-13,0.418100520096161,0.64,0.557,2.74016307222562e-08
"RPS15A",8.74735582255285e-13,-0.960905528416304,0.098,0.181,2.94733407085096e-08
"CFL1",9.30768286947032e-13,0.55994162961503,0.455,0.353,3.13613066603933e-08
