"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","cotranslational protein targeting to membrane (GO:0006613)","40/94",3.34657083788709e-43,7.03449190123866e-40,0,0,40.2181069958848,3933.46047942066,"RPL30;RPL3;ARL6IP1;RPL32;RPL10;RPL31;RPL34;RPL12;RPL36A;RPL10A;RPS4Y1;RPL9;RPL6;RPL7;RPS14;RPS15A;RPS18;RPL14;RPL35;RPLP2;RPL38;RPL37;RPS27A;RPL39;RPL17;RPS12;RPS7;RPS8;RPS6;RPL13A;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RPL37A;RPL24;RPS20;RPL26"
"2","SRP-dependent cotranslational protein targeting to membrane (GO:0006614)","39/90",1.58481494975379e-42,1.66564051219123e-39,0,0,41.4106240834284,3985.69414691657,"RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPL12;RPL36A;RPL10A;RPS4Y1;RPL9;RPL6;RPL7;RPS14;RPS15A;RPS18;RPL14;RPL35;RPLP2;RPL38;RPL37;RPS27A;RPL39;RPL17;RPS12;RPS7;RPS8;RPS6;RPL13A;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RPL37A;RPL24;RPS20;RPL26"
"3","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)","41/113",8.29338091777078e-41,5.8108955630514e-38,0,0,30.9752398638193,2858.72133785465,"RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPL12;RPL36A;RPL10A;RPS4Y1;SMG7;RPL9;RPL6;RPL7;RPS14;RPS15A;PPP2R1A;RPS18;RPL14;RPL35;RPLP2;RPL38;RPL37;RPS27A;RPL39;RPL17;RPS12;RPS7;RPS8;RPS6;RPL13A;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RPL37A;RPL24;RPS20;RPL26"
"4","protein targeting to ER (GO:0045047)","39/103",1.02476482874268e-39,5.38513917504277e-37,0,0,32.9771468144044,2960.56805499008,"RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPL12;RPL36A;RPL10A;RPS4Y1;RPL9;RPL6;RPL7;RPS14;RPS15A;RPS18;RPL14;RPL35;RPLP2;RPL38;RPL37;RPS27A;RPL39;RPL17;RPS12;RPS7;RPS8;RPS6;RPL13A;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RPL37A;RPL24;RPS20;RPL26"
"5","cytoplasmic translation (GO:0002181)","37/93",1.10303644408642e-38,4.63716521093931e-36,0,0,35.5730027548209,3109.0863726824,"RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPL12;RPL36A;RPL10A;RPL9;RPL6;RPL7;RPS14;RPS15A;RPS18;RPL14;RPL35;RPL38;RPL37;RPS27A;RPL39;RPL17;RPS12;RPS7;RPS8;RPS6;RPL13A;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RPL37A;RPL24;RPS20;RPL26"
"6","nuclear-transcribed mRNA catabolic process (GO:0000956)","41/171",1.55945669961406e-32,5.46329663764791e-30,0,0,17.1045639597172,1252.71064882923,"RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPL12;RPL36A;RPL10A;RPS4Y1;SMG7;RPL9;RPL6;RPL7;RPS14;RPS15A;PPP2R1A;RPS18;RPL14;RPL35;RPLP2;RPL38;RPL37;RPS27A;RPL39;RPL17;RPS12;RPS7;RPS8;RPS6;RPL13A;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RPL37A;RPL24;RPS20;RPL26"
"7","peptide biosynthetic process (GO:0043043)","39/162",4.64349425857562e-31,1.39437499021799e-28,0,0,17.1070197959597,1194.83416476951,"RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPL12;RPL36A;RPL10A;RPS4Y1;RPL9;RPL6;RPL7;RPS14;RPS15A;RPS18;RPL14;RPL35;RPLP2;RPL38;RPL37;RPS27A;RPL39;RPL17;RPS12;RPS7;RPS8;RPS6;RPL13A;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RPL37A;RPL24;RPS20;RPL26"
"8","translation (GO:0006412)","39/214",3.47416574170546e-26,9.12837048633109e-24,0,0,11.9916897506925,702.975134248567,"RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPL12;RPL36A;RPS4Y1;RPL10A;RPL9;RPL6;RPL7;RPS14;RPS15A;RPS18;RPL14;RPL35;RPLP2;RPL38;RPL37;RPS27A;RPL39;RPL17;RPS12;RPS7;RPS8;RPS6;RPL13A;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RPL37A;RPL24;RPS20;RPL26"
"9","rRNA metabolic process (GO:0016072)","33/162",6.2978823828823e-24,1.47090541875762e-21,0,0,13.5720803497877,725.045352698077,"RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPL12;RPL36A;SNU13;RPL10A;RPL9;RPL6;RPL7;RPS14;RPL14;RPL35;RPLP2;RPL38;RPL37;RPL39;RPL17;RPS7;RPS6;RPL13A;RPL35A;RPL23A;RPS25;RPS27;RPL27A;RPL37A;RPL24;ESF1;RPL26"
"10","rRNA processing (GO:0006364)","33/173",5.72893420550256e-23,1.20422196999664e-20,0,0,12.4986376021798,640.104321606227,"RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPL12;RPL36A;SNU13;RPL10A;RPL9;RPL6;RPL7;RPS14;RPL14;RPL35;RPLP2;RPL38;RPL37;RPL39;RPL17;RPS7;RPS6;RPL13A;RPL35A;RPL23A;RPS25;RPS27;RPL27A;RPL37A;RPL24;ESF1;RPL26"
