"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PCSK1N",0,1.44846075971532,0.754,0.394,0
"MEG3",0,-1.14881201580546,0.989,0.986,0
"MIAT",7.3368039531353e-267,-1.05821077420292,0.842,0.917,2.47206272396941e-262
"ACTB",5.9710622512468e-202,0.765566075230928,0.889,0.695,2.0118897149351e-197
"BCYRN1",2.73522586332927e-181,-1.17034029874141,0.633,0.797,9.21607002390163e-177
"ALDOA",4.43850405773041e-159,1.05758174354108,0.682,0.439,1.49550955721168e-154
"CLU",4.44979689243879e-152,0.795362580863786,0.829,0.658,1.49931456493833e-147
"GAPDH",4.24239440430488e-145,0.764973196716737,0.789,0.579,1.42943237058649e-140
"CALM2",4.39937326419957e-140,0.564918298353444,0.913,0.769,1.4823248276394e-135
"C4orf48",6.30941317315013e-137,1.40617999815668,0.349,0.121,2.1258936745612e-132
"ATP5D",2.69442824754747e-131,1.32441688934291,0.417,0.182,9.07860653728645e-127
"MT-ND4",1.06173754198858e-130,0.597235164511103,0.971,0.897,3.57741847397632e-126
"SNCB",5.95013065684837e-130,0.747351042252364,0.751,0.514,2.00483702351849e-125
"H1FX",1.04235229714666e-128,1.4320329382954,0.356,0.133,3.51210183000594e-124
"LY6H",8.34929004568963e-125,0.91115998816908,0.686,0.457,2.81320978799466e-120
"CFL1",6.11425026187267e-123,0.876552435069659,0.641,0.412,2.06013548323538e-118
"IDS",4.65977420361122e-120,0.537145902846759,0.905,0.782,1.57006432016477e-115
"NRGN",1.57223456449338e-113,0.515523746878356,0.924,0.833,5.297487141604e-109
"WSB1",1.74150934684783e-113,-0.971444003033609,0.466,0.648,5.86784159326909e-109
"YWHAH",2.22040414191279e-112,0.710194703151111,0.76,0.576,7.48142971576095e-108
"FAIM2",1.10716438906274e-108,0.577848398321836,0.841,0.655,3.730479692508e-104
"PHYHIP",2.04868946520947e-107,0.603598763210366,0.832,0.654,6.9028542840768e-103
"PRNP",3.44133068927031e-105,0.563564467780117,0.837,0.648,1.15952196244274e-100
"PPIA",7.04760111301033e-105,0.705549115409912,0.687,0.46,2.3746187190177e-100
"YWHAG",2.04599822609749e-104,0.654813137105569,0.751,0.555,6.8937864230129e-100
"FKBP8",2.23461272212943e-102,0.79271355509593,0.622,0.409,7.52930410594289e-98
"RP3-525N10.2",9.82408272761685e-102,-1.44120656130613,0.224,0.418,3.31012643424322e-97
"TRIM9",1.60491236918685e-99,-0.901696394640372,0.478,0.643,5.40759173673819e-95
"MIF",2.06909259134576e-97,1.30461759815327,0.326,0.139,6.97160057728041e-93
"CCPG1",1.59036760021871e-95,-1.17509562629458,0.42,0.591,5.35858459217691e-91
"SYN1",4.19280574857184e-95,0.779077345666414,0.627,0.409,1.41272396892379e-90
"JUND",2.59725110694601e-92,0.775413995113988,0.583,0.356,8.75117787974388e-88
"GOLGA8B",7.96069351244671e-92,-0.986290148234877,0.382,0.561,2.6822760720838e-87
"RPL31",9.78338848626251e-92,-1.05925854451273,0.435,0.582,3.29641491656129e-87
"HSP90AB1",1.03962368301982e-87,0.511180148663162,0.845,0.694,3.50290803756697e-83
"RPL34",1.12312591884054e-86,-0.915721820825367,0.507,0.643,3.78426047094133e-82
"NCDN",3.46811727501933e-86,0.716356113066884,0.624,0.415,1.16854743464501e-81
"NKTR",5.02501699719682e-83,-0.942459607179903,0.496,0.643,1.6931292270355e-78
"ESF1",4.3205138762017e-82,-0.968755010927843,0.402,0.569,1.4557539454474e-77
"CHCHD10",9.06196924193956e-82,0.976558308737926,0.395,0.209,3.05333991637912e-77
"UBB",2.4145948715365e-81,0.931836988697128,0.446,0.26,8.13573596015508e-77
"RP11-161M6.2",2.54857068064328e-81,-0.875443510826937,0.48,0.631,8.58715405135946e-77
"ARL2",4.17033432512789e-81,1.18796085768091,0.298,0.133,1.40515244750859e-76
